Issue,Entity,Field,Source File,Why It Matters,Suggested Resolution,Priority,Approval Status
Field appears across multiple source statuses,Coach,gamemanagement,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,id,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,ingameadaptation,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,leadership,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,linedevelopment,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,loyalty,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js; js/sim/tests/portal-v2-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,manmanagement,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,mediahandling,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,motivation,app.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js; js/sim/tests/portal-v2-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,name,.claude/launch.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,negotiating,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,offensivestrategy,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,opponentanalysis,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,playcalling,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,pressurehandling,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,professionalism,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,qbdevelopment,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,recruitment,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,role,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; app.js; js/sim/tests/coaching-carousel-tests.js; js/sim/tests/reducers-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,scoutingcurrent,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,scoutingpotential,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,skilldevelopment,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,specialteams,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,sportsscience,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,staffdelegation,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,strengthconditioning,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,tacticalknowledge,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Coach,teaching,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,conference,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json; app.js; harness/soak.js; js/sim/media/voices-engine.js; js/sim/tests/realignment-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,fromconf,harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json; js/sim/realignment/realignment-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,id,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,losses,app.js; data/demo-world.js; data/fbs-world.js; harness/soak.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,name,.claude/launch.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,pressure,harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json; js/sim/realignment/realignment-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,programid,app.js; harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,programname,harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json; js/sim/tests/scrapbook-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,reasoncodes,harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json; js/sim/awards/awards-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,short,data/fbs-world.js; harness/soak.js; js/sim/realignment/realignment-engine.js; js/sim/tests/realignment-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,tier,data/fbs-world.js; harness/soak.js; js/sim/realignment/realignment-engine.js; js/sim/tests/realignment-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,toconf,harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json; js/sim/realignment/realignment-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,wins,app.js; data/demo-world.js; data/fbs-world.js; harness/soak.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Conference,year,app.js; harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,awayscore,harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv; harness/runs/seed_103/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,drives,app.js; harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,gameid,harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv; harness/runs/seed_103/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,games,harness/loop.js; harness/run.js; harness/runs/loop-status.json; harness/runs/seed_1/summary.json; harness/runs/seed_10/summary.json; harness/runs/seed_100/summary.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,homescore,harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv; harness/runs/seed_103/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,id,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,label,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; app.js; js/sim/draft/draft-engine.js; js/ui/helpers/schedule-workspace.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,losses,app.js; data/demo-world.js; data/fbs-world.js; js/sim/tests/invariants-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,plays,app.js; harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,summary,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,type,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; js/sim/tests/persist2-tests.js; js/sim/tests/reducers-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,width,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; app.js; cfl_agent_repo_pack/tests/visual/playwright-visual-template.spec.ts,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,win,app.js; harness/runs/seed_1/games.csv; harness/runs/seed_10/games.csv; harness/runs/seed_100/games.csv; harness/runs/seed_101/games.csv; harness/runs/seed_102/games.csv,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,wins,app.js; data/demo-world.js; data/fbs-world.js; js/sim/tests/invariants-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Game,world,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/news/generateNewsImage.ts; app.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,NIL,nilcapacity,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,NIL,nilstructure,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,id,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,label,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; app.js; js/ui/helpers/desk-workspace.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,severity,app.js; harness/runs/seed_1/anomalies.json; harness/runs/seed_10/anomalies.json; harness/runs/seed_100/anomalies.json; harness/runs/seed_101/anomalies.json; harness/runs/seed_102/anomalies.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,summary,ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; harness/runs/soak/seed_1.json; harness/runs/soak/seed_200.json; harness/runs/soak/seed_42.json; harness/runs/soak/seed_7.json; harness/runs/soak/seed_99.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,title,ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json; app.js; js/m0/foundation.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,type,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json; app.js; harness/runs/loop-status.json; harness/runs/seed_100/summary.json; harness/runs/seed_101/summary.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,News Event,world,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/news/generateNewsImage.ts; app.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,acceleration,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,adaptability,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,aggression,app.js; data/demo-world.js; data/fbs-world.js; harness/run.js; harness/scenarios/registry.js; harness/seeded-roster.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,agility,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,anticipation,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,balance,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,ballcarrying,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,bravery,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js; js/sim/tests/injury-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,catching,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,composure,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,concentration,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,coverage,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,decisions,app.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,determination,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,discipline,app.js; data/demo-world.js; data/fbs-world.js; js/sim/staff/coaching-carousel.js; js/sim/stats/stat-taxonomy.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,firsttouch,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,flair,app.js; data/fbs-world.js; harness/seeded-roster.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,id,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/game_data/image_style_presets.json; ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; ai-pack/cfl_ui_asset_manifest_pack/manifests/team_brand_pack.schema.json,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,jumping,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,kicking,app.js; data/fbs-world.js; harness/seeded-roster.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,label,ai-pack/CFB_FM_DYNAMIC_IMAGE_GENERATION_PACK/src/services/assets/newsImagePromptBuilder.ts; app.js; js/m0/foundation.js; js/sim/awards/awards-engine.js; js/sim/draft/draft-engine.js; js/sim/tests/awards-tests.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,leadership,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,longsnapping,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,name,.claude/launch.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/callers_fictional_library.json; ai-pack/CFB_FM_HOSTS_AND_CALLERS_PACK/hosts_saul_and_peve.json; ai-pack/CFB_FM_PLAYER_COMPS_PACK/college_player_comps_library.json; app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,offtheball,app.js; data/fbs-world.js; harness/seeded-roster.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,pace,app.js; data/fbs-world.js; harness/scenarios/registry.js; harness/seeded-roster.js; harness/soak.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,passblocking,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,passrush,app.js; data/demo-world.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,pos,app.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,positioning,app.js; data/fbs-world.js; harness/seeded-roster.js; js/sim/dev/dev-engine.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,professionalism,app.js; data/demo-world.js; data/fbs-world.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
Field appears across multiple source statuses,Player,punting,app.js; data/fbs-world.js; harness/seeded-roster.js,"May be code, mock, and spec using the same name with different meaning.",Review before merging or renaming.,Medium,pending-review
