Logical Entity,Table / Store,Field Name,Display Label,Data Type,Example Value,Parent Entity,Entity Layer,FM-Inspired Pattern,Source Basis,Build Phase,Screen Usage,Simulation Usage,Editable By User?,Persistence Needed?,Notes,Approval Status
Game Result,game_results,quarterScoresJson,Quarter Scores Json,json,,Scheduled Game,history,FIXTURE_RESULT/FIXTURE_RECORD,FM-derived architecture,M5,,,No,Yes,,pending-review
Game Result,game_results,winnerProgramId,Winner Program Id,foreign-key,program_vanderbilt,Scheduled Game,history,FIXTURE_RESULT/FIXTURE_RECORD,FM-derived architecture,M5,,,No,Yes,,pending-review
Game Result,game_results,playedAt,Played At,datetime,,Scheduled Game,history,FIXTURE_RESULT/FIXTURE_RECORD,FM-derived architecture,M5,,,No,Yes,,pending-review
Game Result,game_results,simRunId,Sim Run Id,foreign-key,simrun_0001,Scheduled Game,history,FIXTURE_RESULT/FIXTURE_RECORD,FM-derived architecture,M5,,,No,Yes,,pending-review
Game Result,game_results,resultSummaryEventId,Result Summary Event Id,foreign-key,event_0044,Scheduled Game,history,FIXTURE_RESULT/FIXTURE_RECORD,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,statLineId,Stat Line Id,id,pgs_0001,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,gameId,Game Id,foreign-key,game_2031_0042,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,personId,Person Id,foreign-key,person_2031_000123,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,programId,Program Id,foreign-key,program_vanderbilt,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,positionId,Position Id,foreign-key,pos_qb,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,statCategory,Stat Category,enum,passing,Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
Player Game Stat,player_game_stats,statsJson,Stats Json,json,"{yards:244,td:2,int:1}",Game Result,history/stat,PLAYER_STATS_HISTORY,FM-derived architecture,M5,,,No,Yes,,pending-review
