Logical Entity,Table / Store,Field Name,Display Label,Data Type,Example Value,Parent Entity,Entity Layer,FM-Inspired Pattern,Source Basis,Build Phase,Screen Usage,Simulation Usage,Editable By User?,Persistence Needed?,Notes,Approval Status
Play Event,play_events,personnelGroupId,Personnel Group Id,foreign-key,personnel_11,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,formationId,Formation Id,foreign-key,formation_trips,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,conceptId,Concept Id,foreign-key,concept_inside_zone_glance,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,defensiveCallId,Defensive Call Id,foreign-key,def_call_quarters,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,yardsGained,Yards Gained,integer,14,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,resultType,Result Type,enum,complete_pass,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Event,play_events,explanation,Explanation,text,,Simulation Run,simulation/history,Match event tables with probability/explanation hooks,planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,conflictId,Conflict Id,id,conflict_0001,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,playEventId,Play Event Id,foreign-key,play_0001,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,conflictType,Conflict Type,enum,apex_read,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,offensePersonId,Offense Person Id,nullable foreign-key,person_2031_000123,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,defensePersonId,Defense Person Id,nullable foreign-key,person_2031_000987,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,relevantAttributeIds,Relevant Attribute Ids,array<foreign-key>,"processing,eye_discipline",Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,winProbability,Win Probability,number,0.58,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,winnerSide,Winner Side,enum,offense,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
Play Conflict,play_conflicts,creditBlameJson,Credit Blame Json,json,,Play Event,simulation/history,"Sim decisive conflicts, not 22 full agents first",planning-doc,M5,,,No,Yes,,pending-review
