uniformId,schoolId,setName,helmetModel,helmetShellColor,facemaskColor,stripeStyle,stripeColor,jerseyBaseColor,numberColor,wordmark,sleeveStripe,pantsColor,pantsStripe,socksColor,glovesColor,cleatsColor
uniform_duke_rivalry,school_duke,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,DUKE,triple,black,team.accent,team.primary,team.secondary,black
uniform_florida_state_home,school_florida_state,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,FSU,none,white,team.accent,team.primary,team.secondary,black
uniform_florida_state_away,school_florida_state,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,FSU,northwestern,black,team.accent,team.primary,team.secondary,black
uniform_florida_state_alternate_1,school_florida_state,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,FSU,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_florida_state_alternate_2,school_florida_state,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,FSU,single,white,team.accent,team.primary,team.secondary,black
uniform_florida_state_rivalry,school_florida_state,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,FSU,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_georgia_tech_home,school_georgia_tech,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,GT,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_georgia_tech_away,school_georgia_tech,Away,SpeedFlex,team.secondary,team.primary,none,team.accent,team.secondary,team.secondary,GT,triple,black,team.accent,team.primary,team.secondary,black
uniform_georgia_tech_alternate_1,school_georgia_tech,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,GT,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_georgia_tech_alternate_2,school_georgia_tech,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,GT,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_georgia_tech_rivalry,school_georgia_tech,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,GT,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_louisville_home,school_louisville,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,LOU,northwestern,black,team.accent,team.primary,team.secondary,black
uniform_louisville_away,school_louisville,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,LOU,single,white,team.accent,team.primary,team.secondary,black
uniform_louisville_alternate_1,school_louisville,Alternate 1,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,LOU,none,black,team.accent,team.primary,team.secondary,black
uniform_louisville_alternate_2,school_louisville,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,LOU,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_louisville_rivalry,school_louisville,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,LOU,single,black,team.accent,team.primary,team.secondary,black
uniform_miami_fl_home,school_miami_fl,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,MIA,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_miami_fl_away,school_miami_fl,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,MIA,northwestern,black,team.accent,team.primary,team.secondary,black
uniform_miami_fl_alternate_1,school_miami_fl,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,MIA,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_miami_fl_alternate_2,school_miami_fl,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,MIA,triple,black,team.accent,team.primary,team.secondary,black
uniform_miami_fl_rivalry,school_miami_fl,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,MIA,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_nc_state_home,school_nc_state,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,NCSU,triple,black,team.accent,team.primary,team.secondary,black
uniform_nc_state_away,school_nc_state,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,NCSU,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_nc_state_alternate_1,school_nc_state,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,NCSU,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_nc_state_alternate_2,school_nc_state,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,NCSU,triple,white,team.accent,team.primary,team.secondary,black
uniform_nc_state_rivalry,school_nc_state,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,NCSU,single,white,team.accent,team.primary,team.secondary,black
uniform_north_carolina_home,school_north_carolina,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,UNC,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_north_carolina_away,school_north_carolina,Away,SpeedFlex,team.secondary,team.primary,none,team.accent,team.secondary,team.secondary,UNC,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_north_carolina_alternate_1,school_north_carolina,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,UNC,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_north_carolina_alternate_2,school_north_carolina,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,UNC,none,white,team.accent,team.primary,team.secondary,black
uniform_north_carolina_rivalry,school_north_carolina,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,UNC,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_pittsburgh_home,school_pittsburgh,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,PITT,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_pittsburgh_away,school_pittsburgh,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,PITT,triple,white,team.accent,team.primary,team.secondary,black
uniform_pittsburgh_alternate_1,school_pittsburgh,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PITT,single,black,team.accent,team.primary,team.secondary,black
uniform_pittsburgh_alternate_2,school_pittsburgh,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PITT,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_pittsburgh_rivalry,school_pittsburgh,Rivalry,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PITT,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_smu_home,school_smu,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,SMU,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_smu_away,school_smu,Away,SpeedFlex,team.secondary,team.primary,none,team.accent,team.secondary,team.secondary,SMU,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_smu_alternate_1,school_smu,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,SMU,single,black,team.accent,team.primary,team.secondary,black
uniform_smu_alternate_2,school_smu,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,SMU,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_smu_rivalry,school_smu,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,SMU,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_stanford_home,school_stanford,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,STAN,single,black,team.accent,team.primary,team.secondary,black
uniform_stanford_away,school_stanford,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,STAN,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_stanford_alternate_1,school_stanford,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,STAN,single,black,team.accent,team.primary,team.secondary,black
uniform_stanford_alternate_2,school_stanford,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,STAN,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_stanford_rivalry,school_stanford,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,STAN,triple,white,team.accent,team.primary,team.secondary,black
uniform_syracuse_home,school_syracuse,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,SYR,none,white,team.accent,team.primary,team.secondary,black
uniform_syracuse_away,school_syracuse,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,SYR,triple,black,team.accent,team.primary,team.secondary,black
uniform_syracuse_alternate_1,school_syracuse,Alternate 1,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,SYR,none,black,team.accent,team.primary,team.secondary,black
uniform_syracuse_alternate_2,school_syracuse,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,SYR,none,white,team.accent,team.primary,team.secondary,black
uniform_syracuse_rivalry,school_syracuse,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,SYR,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_virginia_home,school_virginia,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,UVA,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_virginia_away,school_virginia,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,UVA,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_virginia_alternate_1,school_virginia,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,UVA,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_virginia_alternate_2,school_virginia,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,UVA,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_virginia_rivalry,school_virginia,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,UVA,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_virginia_tech_home,school_virginia_tech,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,VT,triple,black,team.accent,team.primary,team.secondary,black
uniform_virginia_tech_away,school_virginia_tech,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,VT,single,white,team.accent,team.primary,team.secondary,black
uniform_virginia_tech_alternate_1,school_virginia_tech,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,VT,northwestern,black,team.accent,team.primary,team.secondary,black
uniform_virginia_tech_alternate_2,school_virginia_tech,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,VT,none,black,team.accent,team.primary,team.secondary,black
uniform_virginia_tech_rivalry,school_virginia_tech,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,VT,none,black,team.accent,team.primary,team.secondary,black
uniform_wake_forest_home,school_wake_forest,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,WAKE,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_wake_forest_away,school_wake_forest,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,WAKE,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_wake_forest_alternate_1,school_wake_forest,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,WAKE,none,black,team.accent,team.primary,team.secondary,black
uniform_wake_forest_alternate_2,school_wake_forest,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,WAKE,northwestern,team.primary,team.accent,team.primary,team.secondary,black
uniform_wake_forest_rivalry,school_wake_forest,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,WAKE,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_illinois_home,school_illinois,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,ILL,triple,white,team.accent,team.primary,team.secondary,black
uniform_illinois_away,school_illinois,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,ILL,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_illinois_alternate_1,school_illinois,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,ILL,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_illinois_alternate_2,school_illinois,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,ILL,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_illinois_rivalry,school_illinois,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,ILL,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_indiana_home,school_indiana,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,IND,triple,white,team.accent,team.primary,team.secondary,black
uniform_indiana_away,school_indiana,Away,SpeedFlex,team.secondary,team.primary,none,team.accent,team.secondary,team.secondary,IND,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_indiana_alternate_1,school_indiana,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,IND,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_indiana_alternate_2,school_indiana,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,IND,none,white,team.accent,team.primary,team.secondary,black
uniform_indiana_rivalry,school_indiana,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,IND,triple,black,team.accent,team.primary,team.secondary,black
uniform_iowa_home,school_iowa,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,IOWA,none,black,team.accent,team.primary,team.secondary,black
uniform_iowa_away,school_iowa,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,IOWA,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_iowa_alternate_1,school_iowa,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,IOWA,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_iowa_alternate_2,school_iowa,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,IOWA,single,white,team.accent,team.primary,team.secondary,black
uniform_iowa_rivalry,school_iowa,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,IOWA,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_maryland_home,school_maryland,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,MD,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_maryland_away,school_maryland,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,MD,none,black,team.accent,team.primary,team.secondary,black
uniform_maryland_alternate_1,school_maryland,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,MD,single,team.secondary,team.accent,team.primary,team.secondary,black
uniform_maryland_alternate_2,school_maryland,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,MD,single,black,team.accent,team.primary,team.secondary,black
uniform_maryland_rivalry,school_maryland,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,MD,none,white,team.accent,team.primary,team.secondary,black
uniform_michigan_home,school_michigan,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,MICH,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_michigan_away,school_michigan,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,MICH,triple,black,team.accent,team.primary,team.secondary,black
uniform_michigan_alternate_1,school_michigan,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,MICH,single,black,team.accent,team.primary,team.secondary,black
uniform_michigan_alternate_2,school_michigan,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,MICH,none,black,team.accent,team.primary,team.secondary,black
uniform_michigan_rivalry,school_michigan,Rivalry,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,MICH,triple,white,team.accent,team.primary,team.secondary,black
uniform_michigan_state_home,school_michigan_state,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,MSU,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_michigan_state_away,school_michigan_state,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,MSU,single,black,team.accent,team.primary,team.secondary,black
uniform_michigan_state_alternate_1,school_michigan_state,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,MSU,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_michigan_state_alternate_2,school_michigan_state,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,MSU,none,black,team.accent,team.primary,team.secondary,black
uniform_michigan_state_rivalry,school_michigan_state,Rivalry,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,MSU,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_minnesota_home,school_minnesota,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,MINN,single,black,team.accent,team.primary,team.secondary,black
uniform_minnesota_away,school_minnesota,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,MINN,single,white,team.accent,team.primary,team.secondary,black
uniform_minnesota_alternate_1,school_minnesota,Alternate 1,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,MINN,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_minnesota_alternate_2,school_minnesota,Alternate 2,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,MINN,triple,black,team.accent,team.primary,team.secondary,black
uniform_minnesota_rivalry,school_minnesota,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,MINN,single,white,team.accent,team.primary,team.secondary,black
uniform_nebraska_home,school_nebraska,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,NEB,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_nebraska_away,school_nebraska,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,NEB,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_nebraska_alternate_1,school_nebraska,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,NEB,single,black,team.accent,team.primary,team.secondary,black
uniform_nebraska_alternate_2,school_nebraska,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,NEB,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_nebraska_rivalry,school_nebraska,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,NEB,triple,black,team.accent,team.primary,team.secondary,black
uniform_northwestern_home,school_northwestern,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,NU,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_northwestern_away,school_northwestern,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,NU,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_northwestern_alternate_1,school_northwestern,Alternate 1,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,NU,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_northwestern_alternate_2,school_northwestern,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,NU,northwestern,team.secondary,team.accent,team.primary,team.secondary,black
uniform_northwestern_rivalry,school_northwestern,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,NU,triple,black,team.accent,team.primary,team.secondary,black
uniform_ohio_state_home,school_ohio_state,Home,SpeedFlex,team.primary,team.primary,none,team.accent,team.primary,team.secondary,OSU,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_ohio_state_away,school_ohio_state,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,OSU,none,white,team.accent,team.primary,team.secondary,black
uniform_ohio_state_alternate_1,school_ohio_state,Alternate 1,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,OSU,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_ohio_state_alternate_2,school_ohio_state,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,OSU,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_ohio_state_rivalry,school_ohio_state,Rivalry,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,OSU,northwestern,white,team.accent,team.primary,team.secondary,black
uniform_oregon_home,school_oregon,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,ORE,none,white,team.accent,team.primary,team.secondary,black
uniform_oregon_away,school_oregon,Away,SpeedFlex,team.secondary,team.primary,double,team.accent,team.secondary,team.secondary,ORE,none,white,team.accent,team.primary,team.secondary,black
uniform_oregon_alternate_1,school_oregon,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,ORE,none,white,team.accent,team.primary,team.secondary,black
uniform_oregon_alternate_2,school_oregon,Alternate 2,SpeedFlex,team.primary,team.primary,single,team.accent,team.accent,team.secondary,ORE,northwestern,black,team.accent,team.primary,team.secondary,black
uniform_oregon_rivalry,school_oregon,Rivalry,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,ORE,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_penn_state_home,school_penn_state,Home,SpeedFlex,team.primary,team.primary,single,team.accent,team.primary,team.secondary,PSU,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_penn_state_away,school_penn_state,Away,SpeedFlex,team.secondary,team.primary,triple,team.accent,team.secondary,team.secondary,PSU,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_penn_state_alternate_1,school_penn_state,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,PSU,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_penn_state_alternate_2,school_penn_state,Alternate 2,SpeedFlex,team.primary,team.primary,triple,team.accent,team.accent,team.secondary,PSU,single,team.primary,team.accent,team.primary,team.secondary,black
uniform_penn_state_rivalry,school_penn_state,Rivalry,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PSU,triple,black,team.accent,team.primary,team.secondary,black
uniform_purdue_home,school_purdue,Home,SpeedFlex,team.primary,team.primary,double,team.accent,team.primary,team.secondary,PUR,triple,white,team.accent,team.primary,team.secondary,black
uniform_purdue_away,school_purdue,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,PUR,none,team.primary,team.accent,team.primary,team.secondary,black
uniform_purdue_alternate_1,school_purdue,Alternate 1,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PUR,triple,team.primary,team.accent,team.primary,team.secondary,black
uniform_purdue_alternate_2,school_purdue,Alternate 2,SpeedFlex,team.primary,team.primary,double,team.accent,team.accent,team.secondary,PUR,single,black,team.accent,team.primary,team.secondary,black
uniform_purdue_rivalry,school_purdue,Rivalry,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,PUR,triple,team.secondary,team.accent,team.primary,team.secondary,black
uniform_rutgers_home,school_rutgers,Home,SpeedFlex,team.primary,team.primary,triple,team.accent,team.primary,team.secondary,RUT,none,team.secondary,team.accent,team.primary,team.secondary,black
uniform_rutgers_away,school_rutgers,Away,SpeedFlex,team.secondary,team.primary,single,team.accent,team.secondary,team.secondary,RUT,single,white,team.accent,team.primary,team.secondary,black
uniform_rutgers_alternate_1,school_rutgers,Alternate 1,SpeedFlex,team.primary,team.primary,none,team.accent,team.accent,team.secondary,RUT,none,white,team.accent,team.primary,team.secondary,black
