personId,primaryRoleId,age,reputation,offensivePhilosophyId,defensivePhilosophyId,personalityId,recruitingAbility,playerDevelopment,playCalling,leadership,motivation,discipline,adaptability,scouting,nilInfluence,pipelineStrength,ambition,loyalty,contractYears,salary,buyout
person_000251,strength_coach,64,99,Pistol Option,Multiple,detail_oriented,99,99,99,72,97,78,99,99,99,99,80,81,1,59950021,81694270
person_000252,nil_director,61,99,Spread Option,4-3,CEO,99,99,99,88,99,87,97,99,78,99,51,94,6,47436153,49647132
person_000358,head_coach,31,41,West Coast,3-4,detail_oriented,26,14,78,16,35,65,59,20,39,36,57,75,6,8060329,12074061
person_000359,offensive_coordinator,59,59,Power Run,4-2-5,schemer,39,37,58,66,78,88,31,55,61,32,88,81,3,20458418,21117247
person_000360,defensive_coordinator,39,61,Spread Option,3-3-5,schemer,73,76,68,69,75,98,69,65,82,47,63,99,1,13423829,17915789
person_000361,special_teams_coordinator,63,39,Pro Style,Tite Front,hard_nosed,45,30,60,34,46,69,21,38,27,52,56,49,3,2541183,7502543
person_000362,recruiting_coordinator,30,52,RPO Spread,3-3-5,players_coach,28,56,37,61,63,40,47,52,61,71,78,83,2,12882787,22109369
person_000363,qb_coach,47,81,Pistol Option,Nickel,CEO,71,67,72,91,87,52,90,81,80,71,55,43,3,13517125,53395628
person_000364,rb_coach,43,80,Power Spread,Bear Front,hard_nosed,95,80,90,91,72,45,94,77,67,65,88,99,3,15898241,27057379
person_000365,wr_coach,49,57,RPO Spread,Tite Front,recruiter,57,38,68,41,59,56,67,58,34,68,88,33,5,6427860,14509862
person_000366,ol_coach,66,38,RPO Spread,Nickel,players_coach,59,69,38,38,41,54,47,43,1,25,80,81,5,7982377,12670427
person_000367,dl_coach,41,69,Pro Style,Pressure Multiple,recruiter,64,74,51,76,81,69,83,75,91,62,84,99,4,21112397,29185214
person_000368,lb_coach,68,62,Power Spread,3-4,hard_nosed,43,62,38,69,53,44,60,55,66,73,59,61,5,8130570,21767807
person_000369,db_coach,46,66,Pistol Option,Quarters Match,CEO,74,85,99,82,64,70,75,60,99,76,56,26,2,24621861,30799694
person_000370,strength_coach,34,57,Veer & Shoot,Pressure Multiple,detail_oriented,60,58,64,62,78,59,57,47,40,68,85,40,6,10506764,10131624
person_000371,nil_director,38,58,Pro Style,4-2-5,recruiter,62,68,60,71,45,70,38,44,48,52,82,55,5,20799191,26208872
person_000477,head_coach,41,99,Power Spread,Nickel,CEO,89,99,82,99,93,73,99,91,87,90,99,54,4,30560368,27170562
person_000478,offensive_coordinator,55,83,Spread Option,4-3,recruiter,86,81,87,76,81,67,80,93,67,77,72,66,1,28991722,14235335
person_000479,defensive_coordinator,34,86,Veer & Shoot,4-3,schemer,98,71,99,84,80,55,99,94,80,88,56,59,3,45053833,47383978
person_000480,special_teams_coordinator,33,81,West Coast,3-4,detail_oriented,87,79,54,86,60,88,79,99,70,95,76,29,6,10160425,25333770
person_000481,recruiting_coordinator,44,94,Veer & Shoot,4-3,players_coach,93,79,84,99,67,60,84,83,99,87,40,67,3,22273262,54481886
person_000482,qb_coach,40,79,Veer & Shoot,Bear Front,CEO,81,67,99,80,89,83,60,71,66,69,78,50,6,17801516,18844967
person_000483,rb_coach,62,80,Spread Option,Tite Front,players_coach,88,76,74,70,69,64,57,79,61,64,94,77,2,18051956,23157655
person_000484,wr_coach,66,81,Multiple,3-4,CEO,84,65,99,99,73,83,72,78,68,83,74,44,2,16436935,56029472
person_000485,ol_coach,44,99,Spread Option,4-3,players_coach,88,94,99,99,99,57,99,89,82,99,97,72,3,14089512,82436031
person_000486,dl_coach,55,91,Pro Style,Multiple,detail_oriented,97,78,99,99,80,95,99,96,99,87,64,51,2,49233966,63968552
person_000487,lb_coach,49,99,Multiple,Multiple,detail_oriented,99,99,99,99,96,50,99,79,81,99,43,94,3,48927897,34916028
person_000488,db_coach,49,67,West Coast,3-3-5,hard_nosed,59,45,60,78,87,92,58,71,92,63,77,76,2,5801951,33608415
person_000489,strength_coach,37,77,Multiple,Nickel,players_coach,64,76,79,79,64,80,73,76,83,63,52,48,6,20313599,30343128
person_000490,nil_director,34,89,RPO Spread,4-2-5,recruiter,99,94,93,90,99,55,84,92,99,92,87,92,5,30530971,21284854
person_000596,head_coach,47,26,Air Raid,4-3,hard_nosed,27,11,39,18,36,57,1,21,68,44,72,58,4,1104340,3332051
person_000597,offensive_coordinator,47,70,Veer & Shoot,Tite Front,schemer,79,73,54,67,72,70,82,79,72,61,78,82,1,23875603,32424742
person_000598,defensive_coordinator,44,54,RPO Spread,Quarters Match,recruiter,65,78,52,50,46,76,34,55,28,74,79,72,4,10335020,17973081
person_000599,special_teams_coordinator,62,92,Pistol Option,4-3,hard_nosed,82,94,85,91,99,64,99,99,99,91,68,98,3,41080029,65250114
person_000600,recruiting_coordinator,36,42,West Coast,4-2-5,detail_oriented,46,42,53,42,32,67,34,59,21,39,69,83,6,5207680,8219530
person_000601,qb_coach,50,29,Power Spread,3-3-5,detail_oriented,33,21,24,25,42,40,27,27,37,29,66,39,2,1244358,1876556
person_000602,rb_coach,38,56,RPO Spread,Bear Front,CEO,73,65,55,56,34,47,48,51,73,65,80,80,5,13251606,19687079
person_000603,wr_coach,47,56,Power Run,Tite Front,hard_nosed,51,68,61,36,49,66,34,52,52,53,94,87,5,17342851,20692458
person_000604,ol_coach,32,63,Pistol Option,3-4,hard_nosed,77,45,61,79,57,47,42,70,82,49,99,60,4,19825864,22065107
person_000605,dl_coach,67,58,Veer & Shoot,Tite Front,players_coach,52,66,53,47,48,69,73,50,56,74,86,69,1,4907022,6933082
person_000606,lb_coach,66,54,West Coast,Multiple,hard_nosed,66,59,37,39,42,76,38,74,33,47,54,56,1,17191425,11019989
person_000607,db_coach,59,55,Multiple,3-4,recruiter,50,57,37,60,79,66,58,49,46,48,89,69,4,18896132,13685047
person_000608,strength_coach,36,50,Power Spread,4-3,hard_nosed,31,71,60,50,17,70,38,43,28,59,63,64,5,10594996,7717646
person_000609,nil_director,45,70,Veer & Shoot,Pressure Multiple,schemer,68,59,76,57,70,54,51,54,66,46,81,91,6,8715784,34140328
person_000715,head_coach,58,74,Spread Option,Pressure Multiple,hard_nosed,76,52,78,76,74,70,95,73,71,79,67,39,4,22232105,41645669
person_000716,offensive_coordinator,46,68,West Coast,Quarters Match,detail_oriented,74,56,65,74,77,66,86,60,99,50,99,46,6,13534000,24925292
person_000717,defensive_coordinator,47,90,West Coast,Multiple,recruiter,98,88,67,99,97,96,99,93,85,98,57,61,6,30272956,48570662
person_000718,special_teams_coordinator,46,78,Power Run,Tite Front,detail_oriented,80,78,81,76,75,83,84,71,57,81,75,93,5,33410663,27116679
person_000719,recruiting_coordinator,53,75,Veer & Shoot,Nickel,schemer,72,84,87,99,87,45,71,59,57,87,79,83,4,17270949,38074768
person_000720,qb_coach,53,99,Multiple,Pressure Multiple,hard_nosed,91,93,99,99,78,79,99,82,98,99,60,46,4,56265672,86194449
person_000721,rb_coach,54,99,Power Spread,4-3,CEO,99,99,99,96,99,43,99,99,99,99,61,53,6,37997538,81524184
person_000722,wr_coach,41,76,Power Run,3-4,players_coach,55,75,96,61,83,39,69,69,75,58,72,23,5,31942492,17904629
person_000723,ol_coach,67,86,Veer & Shoot,Tite Front,recruiter,85,99,75,79,99,56,81,75,99,61,58,70,5,14937963,53557633
person_000724,dl_coach,65,99,West Coast,3-4,schemer,85,99,99,89,99,88,99,93,99,99,78,52,5,16935773,56513917
person_000725,lb_coach,37,69,West Coast,Nickel,schemer,73,65,55,82,75,51,59,75,62,72,61,42,2,8570213,24026857
person_000726,db_coach,67,73,Multiple,Nickel,schemer,71,78,53,59,54,78,80,54,54,55,63,68,3,30563534,39944474
person_000727,strength_coach,60,99,West Coast,4-2-5,players_coach,99,99,89,99,80,43,99,99,99,86,45,52,3,35567260,41814835
person_000728,nil_director,53,63,Veer & Shoot,Tite Front,CEO,52,60,60,47,56,56,75,46,52,68,61,77,2,4830620,33072786
person_000834,head_coach,34,67,Pistol Option,4-3,schemer,79,89,78,58,66,63,39,63,66,82,48,51,6,23902448,16039067
person_000835,offensive_coordinator,38,80,Multiple,Tite Front,hard_nosed,85,75,78,86,96,53,87,67,99,81,51,63,6,37864680,40580423
person_000836,defensive_coordinator,65,61,Veer & Shoot,4-3,schemer,76,68,75,56,62,52,66,33,66,83,86,92,2,5746644,20173473
person_000837,special_teams_coordinator,54,98,Power Run,Bear Front,players_coach,99,99,91,93,99,78,99,99,99,84,55,72,6,45170573,60709787
person_000838,recruiting_coordinator,64,79,RPO Spread,4-3,CEO,65,85,83,74,93,61,73,78,97,99,62,60,6,22567340,29625779
person_000839,qb_coach,58,83,Pistol Option,Multiple,schemer,75,76,61,79,87,80,93,95,87,83,58,55,1,16398133,35067327
person_000840,rb_coach,46,57,Air Raid,3-3-5,hard_nosed,60,67,44,59,64,75,60,52,54,71,81,98,4,11754609,21352797
person_000841,wr_coach,68,81,Air Raid,Nickel,hard_nosed,75,95,92,99,87,79,91,81,72,88,93,50,2,36225625,17188652
person_000842,ol_coach,36,72,Pistol Option,3-3-5,hard_nosed,78,56,61,64,84,78,60,77,74,72,67,41,2,16378130,17486860
person_000843,dl_coach,32,89,Veer & Shoot,Multiple,schemer,97,66,96,69,78,56,99,59,71,94,39,82,3,50771569,33136002
person_000844,lb_coach,49,56,Pro Style,Nickel,schemer,73,57,37,50,47,67,53,80,99,51,91,85,1,13971783,10111839
person_000845,db_coach,58,66,Multiple,4-2-5,schemer,55,58,70,64,59,63,38,69,99,82,70,75,5,19429939,14565538
person_000846,strength_coach,68,87,Multiple,Pressure Multiple,hard_nosed,58,99,81,77,93,73,87,79,74,96,71,48,1,9328794,66659762
person_000847,nil_director,47,99,Power Spread,3-3-5,hard_nosed,99,99,99,99,98,78,98,93,99,93,47,54,6,45818056,62365755
person_000953,head_coach,58,64,Spread Option,Pressure Multiple,hard_nosed,42,59,59,78,54,57,60,70,87,79,77,57,2,21595425,20233532
person_000954,offensive_coordinator,47,62,RPO Spread,4-3,schemer,37,47,82,69,52,78,91,57,35,67,58,87,6,23415982,23040184
person_000955,defensive_coordinator,49,84,Power Run,Pressure Multiple,schemer,98,97,75,96,93,75,88,81,94,63,79,70,5,38558111,37448467
person_000956,special_teams_coordinator,51,66,Veer & Shoot,Tite Front,recruiter,83,76,73,50,63,50,49,44,23,77,61,30,1,10438612,26213813
person_000957,recruiting_coordinator,66,56,Air Raid,Tite Front,players_coach,60,65,58,65,37,75,29,64,99,56,47,66,3,4039947,14842312
person_000958,qb_coach,49,60,Power Spread,Multiple,schemer,67,57,52,63,68,62,42,60,61,70,63,82,5,9725595,29952835
person_000959,rb_coach,41,74,Pistol Option,Nickel,recruiter,69,62,82,79,57,98,85,73,73,61,50,61,6,25494235,43291305
person_000960,wr_coach,62,49,Air Raid,Bear Front,detail_oriented,39,42,53,51,47,54,48,42,31,50,99,86,6,10845176,5367899
person_000961,ol_coach,63,79,Multiple,Multiple,detail_oriented,71,83,80,79,89,52,99,85,64,81,99,51,2,23924442,31433622
person_000962,dl_coach,41,74,Multiple,Quarters Match,recruiter,86,98,79,89,68,83,81,80,56,76,65,18,6,19817059,11136360
person_000963,lb_coach,43,73,Pro Style,3-4,CEO,72,46,80,82,67,34,78,84,66,65,65,68,3,20667762,16485076
person_000964,db_coach,65,71,West Coast,Bear Front,hard_nosed,54,74,65,88,53,64,58,75,78,61,72,42,3,9724050,30118687
person_000965,strength_coach,46,75,Power Run,Multiple,detail_oriented,61,70,80,69,63,78,67,87,85,66,66,72,3,23438726,30088768
person_000966,nil_director,61,70,Power Spread,Pressure Multiple,schemer,67,66,73,70,84,76,99,36,81,68,46,67,4,31035394,39808569
person_001072,head_coach,62,68,Air Raid,4-2-5,CEO,80,64,54,48,63,57,68,50,71,76,52,90,6,13755187,12333784
person_001073,offensive_coordinator,49,74,West Coast,4-3,detail_oriented,71,82,84,87,71,80,80,71,94,81,99,52,6,32235680,18819176
person_001074,defensive_coordinator,49,60,Air Raid,4-3,recruiter,79,69,61,70,52,40,71,48,68,51,79,40,5,19041129,12271367
person_001075,special_teams_coordinator,45,58,Pistol Option,Tite Front,recruiter,58,46,63,52,77,47,58,57,15,53,70,59,3,10819120,28581469
person_001076,recruiting_coordinator,60,82,Power Spread,Pressure Multiple,players_coach,98,81,97,75,80,60,99,77,89,84,48,54,2,35646166,43213186
person_001077,qb_coach,56,71,Veer & Shoot,Bear Front,CEO,75,64,81,80,70,99,69,64,75,75,70,80,1,30804326,12619795
person_001078,rb_coach,55,55,Pro Style,Bear Front,hard_nosed,68,57,53,45,69,52,41,57,62,63,54,55,2,13708549,17110455
person_001079,wr_coach,34,68,Spread Option,4-3,hard_nosed,73,63,58,63,59,73,65,78,66,78,62,48,4,9346754,11524557
person_001080,ol_coach,55,73,Spread Option,Bear Front,players_coach,98,64,99,94,53,99,75,74,61,82,48,43,4,14413141,24693142
person_001081,dl_coach,68,74,West Coast,4-3,hard_nosed,75,67,73,85,67,89,82,87,55,75,94,50,2,28456321,30296917
person_001082,lb_coach,57,68,Power Run,Bear Front,schemer,52,55,55,61,99,71,63,59,99,55,80,74,4,29167551,32661604
person_001083,db_coach,48,84,Power Spread,4-3,hard_nosed,91,57,72,84,95,74,92,95,99,80,88,52,6,40454983,48614516
person_001084,strength_coach,64,81,Multiple,4-3,recruiter,83,95,84,66,91,51,85,99,99,76,75,95,6,16197871,30587619
person_001085,nil_director,61,79,Power Spread,Quarters Match,detail_oriented,83,92,49,66,69,35,66,99,51,99,93,99,3,19376930,47421956
person_001191,head_coach,36,76,West Coast,Nickel,CEO,73,65,79,79,66,44,81,51,75,79,50,43,4,32936701,30403101
person_001192,offensive_coordinator,57,85,Pistol Option,Tite Front,recruiter,77,63,81,81,82,74,99,57,55,77,61,64,2,21305346,37641289
person_001193,defensive_coordinator,33,66,RPO Spread,Multiple,recruiter,52,71,65,70,41,80,43,83,23,51,80,56,3,13106899,10398901
person_001194,special_teams_coordinator,58,71,Power Spread,Pressure Multiple,detail_oriented,75,58,43,67,78,61,87,76,85,97,66,77,1,10940834,28341965
person_001195,recruiting_coordinator,51,81,Air Raid,Bear Front,hard_nosed,86,87,68,77,72,43,68,88,62,61,61,67,4,41312783,22485282
person_001196,qb_coach,55,73,Spread Option,3-3-5,detail_oriented,81,82,65,69,60,54,85,85,66,75,48,48,3,29437691,29102019
person_001197,rb_coach,54,86,RPO Spread,4-3,hard_nosed,88,83,91,92,93,49,87,94,99,99,94,67,5,19062700,36699902
person_001198,wr_coach,57,70,Power Run,Tite Front,detail_oriented,66,87,80,59,65,60,53,76,52,74,55,81,1,10024449,12499321
person_001199,ol_coach,40,77,Veer & Shoot,3-3-5,hard_nosed,67,64,99,91,63,83,93,99,64,71,46,66,5,35946898,45171431
person_001200,dl_coach,33,99,Pistol Option,Bear Front,schemer,92,99,99,87,99,61,93,92,77,99,65,54,4,38739104,78460491
person_001201,lb_coach,48,57,West Coast,Tite Front,hard_nosed,52,50,58,54,70,87,51,46,88,54,96,52,2,20968025,22120769
person_001202,db_coach,32,73,Power Run,3-3-5,schemer,59,73,58,82,95,63,72,81,84,70,39,95,2,14079597,12154282
person_001203,strength_coach,30,63,Multiple,Tite Front,schemer,53,70,60,70,65,82,60,66,64,65,58,81,5,14733496,20102902
person_001204,nil_director,60,87,Pistol Option,Pressure Multiple,recruiter,88,92,45,90,84,65,75,87,99,99,69,50,2,20141077,58900347
person_001310,head_coach,58,92,Veer & Shoot,Tite Front,schemer,98,92,91,90,78,93,93,87,76,99,85,70,6,53914839,43440863
person_001311,offensive_coordinator,34,72,Power Run,4-2-5,players_coach,73,65,56,85,59,81,60,62,99,74,36,57,1,14041197,21280895
person_001312,defensive_coordinator,68,72,Air Raid,4-3,hard_nosed,76,79,72,78,82,83,68,65,63,52,58,86,6,27469215,21721203
person_001313,special_teams_coordinator,39,87,West Coast,Quarters Match,players_coach,93,99,72,81,75,75,82,72,78,73,72,88,6,35566071,33661151
person_001314,recruiting_coordinator,67,48,Pro Style,Tite Front,CEO,44,42,47,48,46,58,52,32,23,47,86,57,4,11573377,7254454
person_001315,qb_coach,54,54,Air Raid,Multiple,CEO,53,46,48,65,51,71,80,51,75,49,94,56,4,8250847,26141508
person_001316,rb_coach,50,71,Pro Style,Tite Front,hard_nosed,88,55,57,70,62,73,61,67,58,81,76,86,3,31632278,22144900
person_001317,wr_coach,37,93,Power Run,4-3,hard_nosed,99,98,88,69,77,52,96,95,99,96,66,58,5,24286345,77828347
person_001318,ol_coach,38,71,Multiple,4-3,schemer,85,73,72,55,73,86,80,61,73,76,99,94,6,7292565,37634400
person_001319,dl_coach,38,89,Veer & Shoot,3-3-5,schemer,99,85,99,83,99,87,99,98,84,90,76,78,5,26021817,50287916
person_001320,lb_coach,36,79,Spread Option,Pressure Multiple,CEO,84,54,71,89,96,56,65,81,86,82,75,74,5,34897981,17841802
person_001321,db_coach,63,53,RPO Spread,3-3-5,hard_nosed,42,60,38,50,65,67,43,38,50,63,66,64,6,9544285,24327075
person_001322,strength_coach,63,75,West Coast,Tite Front,recruiter,57,83,94,99,92,99,67,77,68,66,32,51,3,12447722,15866202
person_001323,nil_director,45,85,West Coast,4-2-5,schemer,83,75,74,99,58,62,99,76,66,66,64,88,5,35993950,15365615
person_001429,head_coach,33,54,Spread Option,4-3,CEO,64,59,66,47,26,80,56,60,47,54,56,78,4,12757864,19904008
person_001430,offensive_coordinator,61,78,Power Spread,Nickel,CEO,62,73,91,74,99,76,70,95,78,88,56,70,3,34794587,44332934
person_001431,defensive_coordinator,57,58,Air Raid,Pressure Multiple,detail_oriented,33,71,68,71,57,59,83,56,99,61,32,65,3,10450093,17512989
person_001432,special_teams_coordinator,33,74,Pro Style,Bear Front,detail_oriented,58,62,72,73,72,71,99,86,53,78,96,41,5,34204307,47067703
person_001433,recruiting_coordinator,30,71,Pro Style,Quarters Match,schemer,63,54,70,69,53,48,28,88,99,99,60,44,3,29895009,13461710
person_001434,qb_coach,57,65,Spread Option,4-2-5,players_coach,70,85,71,46,70,58,76,69,71,47,79,70,5,26477187,23377309
person_001435,rb_coach,45,50,Air Raid,4-2-5,hard_nosed,57,41,53,36,36,87,66,65,52,31,85,85,5,10547778,22042075
person_001436,wr_coach,68,56,Power Run,3-3-5,hard_nosed,61,55,58,71,62,67,69,55,53,54,47,12,2,7035092,13739780
person_001437,ol_coach,57,66,Pistol Option,Nickel,players_coach,73,64,50,75,72,50,64,68,74,59,68,90,6,19605750,35864819
person_001438,dl_coach,60,76,Pistol Option,Multiple,CEO,58,89,62,73,80,66,70,80,78,74,85,82,3,23948479,38754581
person_001439,lb_coach,43,99,West Coast,Nickel,schemer,99,99,99,90,98,86,99,99,97,99,61,86,5,60938312,32873097
person_001440,db_coach,34,68,Pro Style,3-4,CEO,92,81,71,70,65,82,83,63,61,60,70,67,4,11028678,36368247
person_001441,strength_coach,34,72,Multiple,4-2-5,players_coach,74,75,47,89,65,60,85,95,41,74,74,47,3,27632160,43176420
person_001442,nil_director,37,66,Power Run,Multiple,recruiter,61,58,57,85,83,94,91,67,57,76,91,55,2,14113024,15941697
person_001548,head_coach,38,77,Power Spread,Pressure Multiple,CEO,83,78,61,76,80,52,77,99,59,78,60,91,4,35981939,35564738
person_001549,offensive_coordinator,67,78,Spread Option,Pressure Multiple,recruiter,81,60,61,49,84,88,95,59,84,88,41,73,4,16977802,20275807
person_001550,defensive_coordinator,47,66,Veer & Shoot,3-4,recruiter,76,68,82,72,52,76,45,71,62,59,53,52,5,7870012,36324339
person_001551,special_teams_coordinator,33,86,Multiple,Multiple,hard_nosed,76,78,76,82,80,69,66,89,78,66,82,31,3,32692842,31408118
person_001552,recruiting_coordinator,33,65,West Coast,4-2-5,players_coach,84,50,66,71,81,72,70,59,68,47,65,43,6,11358595,24931313
person_001553,qb_coach,42,59,Power Run,Tite Front,schemer,71,55,51,56,69,65,45,51,40,46,55,48,5,20819515,20611408
person_001554,rb_coach,38,56,Pro Style,Bear Front,detail_oriented,50,27,52,61,40,88,44,53,69,44,91,98,3,14350929,19252584
person_001555,wr_coach,57,74,Pro Style,Quarters Match,players_coach,70,71,65,73,70,50,66,55,92,82,62,37,6,21887570,26021920
person_001556,ol_coach,32,48,RPO Spread,Multiple,CEO,28,40,63,67,64,66,41,31,44,62,80,83,4,5720484,16765056
person_001557,dl_coach,38,67,RPO Spread,4-2-5,players_coach,75,64,50,69,60,60,99,61,81,43,79,44,2,22166942,13105361
person_001558,lb_coach,66,81,Pro Style,4-3,detail_oriented,73,72,95,99,80,72,66,89,45,85,57,48,6,24735927,23694808
person_001559,db_coach,66,52,Air Raid,Tite Front,detail_oriented,55,34,36,57,42,65,34,64,53,80,66,68,4,12565110,13529757
person_001560,strength_coach,57,71,Power Spread,Bear Front,detail_oriented,56,62,89,95,98,69,79,36,90,75,79,99,2,22909231,26341823
person_001561,nil_director,43,57,RPO Spread,Quarters Match,hard_nosed,53,78,47,63,62,70,57,58,25,58,74,84,6,18047510,25344230
person_001667,head_coach,54,57,Power Run,4-2-5,detail_oriented,51,55,32,50,39,77,50,62,60,70,73,58,6,20815355,24888631
person_001668,offensive_coordinator,68,40,Pro Style,Pressure Multiple,recruiter,60,50,22,43,30,86,38,50,57,47,68,59,4,2052922,9919524
person_001669,defensive_coordinator,68,75,Pistol Option,Quarters Match,detail_oriented,84,90,82,91,69,71,64,72,99,72,76,50,2,19463947,16547582
person_001670,special_teams_coordinator,47,54,RPO Spread,3-4,players_coach,44,69,40,50,56,67,46,61,85,44,58,76,5,14535987,17562073
person_001671,recruiting_coordinator,63,91,Air Raid,4-3,detail_oriented,89,77,88,95,89,98,99,91,94,99,80,70,1,32934226,55539614
person_001672,qb_coach,62,54,Power Spread,Nickel,players_coach,68,53,34,63,66,77,66,55,61,56,91,72,3,13882340,17971662
person_001673,rb_coach,66,39,Power Run,Multiple,recruiter,43,46,31,38,35,62,34,32,66,37,92,73,2,3580847,10088777
person_001674,wr_coach,37,54,Air Raid,3-4,recruiter,59,74,56,58,69,65,53,69,37,45,74,87,4,8262076,11315992
