personId,recruitingClassYear,primaryPosition,stars,nationalRank,positionRank,stateRank,hometownCity,hometownState,heightInches,weightPounds,archetype,currentAbility,potentialAbility,developmentTrait,academicFit,characterRisk,nilDemand,commitmentStatus
person_016457,2027,DL,4,35,,,Charlotte,CA,74,282,Edge Rusher,79,92,elite,62,low,2484405,uncommitted
person_016458,2027,DL,3,36,,,New Orleans,OK,76,271,Power Back,59,74,elite,67,high,1194469,uncommitted
person_016459,2027,LB,2,37,,,Oklahoma City,OH,75,243,Mauler,51,71,normal,55,high,224636,uncommitted
person_016460,2027,WR,5,38,,,Tampa,AL,74,183,Power Back,91,99,quick,35,high,6911421,uncommitted
person_016461,2027,S,4,39,,,Atlanta,PA,72,204,Hybrid,73,91,quick,67,low,2063315,uncommitted
person_016462,2027,LB,3,40,,,Houston,FL,76,249,Possession,62,79,normal,73,medium,835315,uncommitted
person_016463,2027,RB,3,41,,,Dallas,GA,74,224,Power Back,60,80,normal,83,low,759285,uncommitted
person_016464,2027,OL,4,42,,,Houston,AL,75,334,Coverage,78,92,elite,67,high,2589676,uncommitted
person_016465,2027,OL,4,43,,,Baton Rouge,AL,75,331,Hybrid,71,82,normal,83,medium,3116250,uncommitted
person_016466,2027,LS,3,44,,,Jacksonville,IL,76,241,Deep Threat,61,66,elite,49,low,1618769,uncommitted
person_016467,2027,OL,3,45,,,Tampa,CA,76,304,Run Stopper,58,72,impact,60,low,1232742,uncommitted
person_016468,2027,QB,3,46,,,Baton Rouge,GA,73,213,Possession,60,69,elite,66,low,227095,uncommitted
person_016469,2027,QB,4,47,,,Oklahoma City,LA,72,223,Hybrid,69,77,normal,82,medium,4039997,uncommitted
person_016470,2027,OL,2,48,,,Dallas,AL,77,336,Hybrid,52,68,impact,68,medium,522794,uncommitted
person_016471,2027,ATH,4,49,,,Los Angeles,NC,73,210,Deep Threat,70,75,elite,56,low,3394139,uncommitted
person_016472,2027,OL,3,50,,,Los Angeles,TX,76,311,Edge Rusher,64,71,quick,77,medium,1260089,uncommitted
person_016473,2027,LB,2,51,,,Charlotte,LA,74,243,Hybrid,54,72,quick,57,high,291547,uncommitted
person_016474,2027,OL,3,52,,,Dallas,FL,76,300,Hybrid,65,75,impact,85,low,553312,uncommitted
person_016475,2027,WR,3,53,,,Tulsa,PA,71,193,Speed Back,68,88,impact,47,low,1127891,uncommitted
person_016476,2027,RB,2,54,,,Houston,GA,72,227,Mauler,57,62,normal,47,low,538224,uncommitted
person_016477,2027,OL,3,55,,,Oklahoma City,MS,79,306,Mauler,67,72,normal,67,medium,1760379,uncommitted
person_016478,2027,LS,2,56,,,Tulsa,MI,72,242,Possession,52,62,impact,57,high,436294,uncommitted
person_016479,2027,LB,4,57,,,Detroit,SC,73,225,Dual Threat,71,86,normal,70,high,2218553,uncommitted
person_016480,2027,P,4,58,,,Tulsa,TX,70,202,Zone Fit,80,93,quick,82,low,1465793,uncommitted
person_016481,2027,TE,3,59,,,Baton Rouge,MS,77,253,Hybrid,69,90,impact,89,medium,1515964,uncommitted
person_016482,2027,OL,2,60,,,Los Angeles,NC,79,289,Deep Threat,48,54,impact,51,low,288621,uncommitted
person_016483,2027,DL,3,61,,,Miami,OH,76,320,Power Back,58,66,normal,42,medium,1869495,uncommitted
person_016484,2027,OL,2,62,,,Detroit,PA,80,315,Zone Fit,57,79,normal,44,medium,415356,uncommitted
person_016485,2027,K,2,63,,,Los Angeles,AZ,72,207,Power Back,49,62,impact,75,high,116125,uncommitted
person_016486,2027,OL,4,64,,,Cleveland,TN,80,331,Run Stopper,75,93,quick,88,low,1774621,uncommitted
person_016487,2027,S,2,65,,,Atlanta,LA,75,202,Dual Threat,47,54,impact,79,low,167692,uncommitted
person_016488,2027,LB,3,66,,,Cleveland,OK,75,225,Power Back,62,78,quick,94,low,1331267,uncommitted
person_016489,2027,TE,4,67,,,Phoenix,NJ,79,234,Zone Fit,75,93,elite,57,medium,2397347,uncommitted
person_016490,2027,OL,2,68,,,New Orleans,AZ,79,333,Field General,57,65,quick,41,medium,188151,uncommitted
person_016491,2027,S,2,69,,,Atlanta,MS,75,187,Speed Back,53,63,impact,74,low,387722,uncommitted
person_016492,2027,DL,4,70,,,Houston,GA,79,315,Speed Back,73,81,quick,64,medium,881890,uncommitted
person_016493,2027,LB,4,71,,,Baton Rouge,MS,73,250,Dual Threat,70,87,elite,35,low,885967,uncommitted
person_016494,2027,OL,3,72,,,Miami,AL,79,330,Mauler,69,79,impact,80,high,453337,uncommitted
person_016495,2027,CB,3,73,,,Tulsa,GA,72,178,Possession,64,71,elite,49,low,1446461,uncommitted
person_016496,2027,CB,4,74,,,Tampa,OH,68,179,Dual Threat,74,84,quick,54,low,2584578,uncommitted
person_016497,2027,EDGE,2,75,,,Los Angeles,TN,77,266,Deep Threat,50,65,quick,42,low,77103,uncommitted
person_016498,2027,LS,2,76,,,Cleveland,NJ,76,248,Power Back,58,74,elite,83,high,43801,uncommitted
person_016499,2027,CB,5,77,,,Tulsa,VA,71,193,Hybrid,89,99,quick,87,high,3746868,uncommitted
person_016500,2027,WR,4,78,,,Tampa,LA,75,194,Power Back,75,86,quick,65,low,2438091,uncommitted
person_016501,2027,CB,3,79,,,Houston,TN,72,196,Field General,67,76,elite,65,medium,337391,uncommitted
person_016502,2027,LB,2,80,,,Tampa,GA,77,223,Mauler,54,66,impact,69,low,196351,uncommitted
person_016503,2027,OL,3,81,,,Atlanta,AL,80,329,Coverage,68,74,elite,74,high,330787,uncommitted
person_016504,2027,ATH,3,82,,,Miami,OK,73,197,Dual Threat,60,79,quick,71,low,190764,uncommitted
person_016505,2027,S,3,83,,,Oklahoma City,CA,71,192,Edge Rusher,65,86,impact,55,medium,1339197,uncommitted
person_016506,2027,OL,2,84,,,Los Angeles,NC,75,320,Power Back,48,57,elite,71,high,190392,uncommitted
person_016507,2027,WR,3,85,,,Miami,LA,68,212,Coverage,64,86,normal,74,low,199533,uncommitted
person_016508,2027,P,2,86,,,Tulsa,PA,71,203,Field General,50,68,normal,56,medium,86892,uncommitted
person_016509,2027,LB,3,87,,,Tampa,SC,73,220,Edge Rusher,57,68,quick,77,high,516769,uncommitted
person_016510,2027,EDGE,2,88,,,Tampa,AZ,78,245,Power Back,50,57,normal,67,low,406203,uncommitted
person_016511,2027,TE,2,89,,,Cleveland,LA,76,246,Dual Threat,59,77,normal,67,high,89113,uncommitted
person_016512,2027,LB,4,90,,,Jacksonville,CA,72,216,Coverage,77,96,elite,74,low,2993463,uncommitted
person_016513,2027,ATH,2,91,,,Dallas,NC,76,199,Speed Back,59,70,elite,68,medium,553772,uncommitted
person_016514,2027,P,4,92,,,Baton Rouge,NC,73,180,Dual Threat,81,99,elite,66,medium,363787,uncommitted
person_016515,2027,ATH,2,93,,,Dallas,TN,70,235,Power Back,56,62,quick,73,medium,77064,uncommitted
person_016516,2027,LB,2,94,,,Jacksonville,IL,72,250,Hybrid,53,75,elite,72,low,379809,uncommitted
person_016517,2027,DL,4,95,,,Jacksonville,MI,73,298,Mauler,75,90,normal,63,high,1086730,uncommitted
person_016518,2027,TE,3,96,,,Los Angeles,MS,75,237,Mauler,65,87,quick,83,medium,1508274,uncommitted
person_016519,2027,WR,4,97,,,Dallas,MI,77,193,Mauler,77,88,impact,64,low,1245967,uncommitted
person_016520,2027,WR,3,98,,,Oklahoma City,AL,71,170,Possession,63,83,normal,78,medium,1544824,uncommitted
person_016521,2027,S,3,99,,,Miami,PA,75,198,Zone Fit,63,72,impact,90,high,478420,uncommitted
person_016522,2027,ATH,2,100,,,Houston,AZ,74,227,Speed Back,50,56,quick,55,medium,389634,uncommitted
person_016523,2027,CB,4,101,,,Baton Rouge,NC,69,201,Mauler,77,97,quick,51,low,2142055,uncommitted
person_016524,2027,OL,3,102,,,Oklahoma City,GA,76,331,Hybrid,63,74,quick,71,low,1109314,uncommitted
person_016525,2027,CB,2,103,,,Cleveland,CA,68,175,Zone Fit,53,70,impact,72,low,122475,uncommitted
person_016526,2027,OL,2,104,,,Jacksonville,CA,80,335,Run Stopper,47,67,elite,73,low,251869,uncommitted
person_016527,2027,K,3,105,,,Tampa,TX,74,177,Speed Back,65,72,impact,87,high,1122682,uncommitted
person_016528,2027,WR,2,106,,,Atlanta,VA,71,197,Mauler,51,68,elite,87,high,330197,uncommitted
person_016529,2027,TE,4,107,,,Charlotte,PA,76,258,Mauler,73,91,normal,62,low,2322071,uncommitted
person_016530,2027,S,2,108,,,Dallas,CA,74,187,Coverage,51,58,impact,43,high,384967,uncommitted
person_016531,2027,TE,3,109,,,New Orleans,OK,76,259,Hybrid,63,70,impact,56,high,1843600,uncommitted
person_016532,2027,OL,3,110,,,Tampa,MI,78,308,Coverage,61,76,normal,84,low,1759494,uncommitted
person_016533,2027,DL,2,111,,,Charlotte,AZ,77,319,Coverage,57,78,normal,89,low,523650,uncommitted
person_016534,2027,DL,3,112,,,Cleveland,GA,75,313,Zone Fit,69,79,elite,49,medium,516151,uncommitted
person_016535,2027,EDGE,4,113,,,Phoenix,AZ,77,237,Run Stopper,72,92,normal,81,medium,3756663,uncommitted
person_016536,2027,OL,2,114,,,Charlotte,VA,78,292,Coverage,53,68,elite,77,low,292392,uncommitted
person_016537,2027,OL,2,115,,,Charlotte,TN,78,328,Zone Fit,56,72,elite,48,medium,278634,uncommitted
person_016538,2027,S,5,116,,,Tampa,VA,72,215,Run Stopper,88,99,quick,77,low,5315074,uncommitted
person_016539,2027,WR,3,117,,,Baton Rouge,GA,74,210,Dual Threat,60,72,impact,52,low,461448,uncommitted
person_016540,2027,RB,4,118,,,Los Angeles,GA,68,207,Dual Threat,70,83,impact,54,medium,1937617,uncommitted
person_016541,2027,OL,2,119,,,Baton Rouge,AZ,75,336,Deep Threat,56,78,elite,62,medium,367131,uncommitted
person_016542,2027,DL,2,120,,,Phoenix,MS,73,276,Deep Threat,58,75,elite,69,high,146505,uncommitted
person_016543,2027,OL,2,121,,,Detroit,TX,76,313,Hybrid,57,69,quick,79,medium,372131,uncommitted
person_016544,2027,WR,4,122,,,Oklahoma City,MS,72,200,Edge Rusher,81,91,normal,96,low,733718,uncommitted
person_016545,2027,K,3,123,,,Cleveland,OK,73,182,Coverage,59,70,quick,70,low,1697731,uncommitted
person_016546,2027,LS,2,124,,,Cleveland,CA,76,224,Edge Rusher,47,69,normal,56,low,215105,uncommitted
person_016547,2027,OL,3,125,,,Tulsa,FL,77,319,Run Stopper,64,78,normal,64,low,920625,uncommitted
person_016548,2027,LS,3,126,,,Los Angeles,FL,76,240,Edge Rusher,68,87,quick,75,high,1797367,uncommitted
person_016549,2027,RB,2,127,,,Baton Rouge,PA,72,221,Speed Back,53,64,impact,72,medium,104576,uncommitted
person_016550,2027,WR,3,128,,,Phoenix,AL,71,191,Speed Back,65,73,impact,73,high,717648,uncommitted
person_016551,2027,LB,4,129,,,Cleveland,AZ,77,242,Deep Threat,79,99,elite,97,high,1027212,uncommitted
person_016552,2027,OL,5,130,,,Tampa,IL,77,328,Deep Threat,81,99,quick,63,medium,5281132,uncommitted
person_016553,2027,WR,3,131,,,New Orleans,LA,71,196,Possession,60,66,impact,80,low,197645,uncommitted
person_016554,2027,TE,4,132,,,Tulsa,NC,75,237,Zone Fit,69,79,quick,75,low,746553,uncommitted
person_016555,2027,EDGE,2,133,,,Atlanta,LA,77,272,Power Back,59,71,quick,65,low,79230,uncommitted
person_016556,2027,TE,3,134,,,Detroit,MI,79,245,Run Stopper,69,79,quick,82,low,320422,uncommitted
person_016557,2027,DL,4,135,,,Tulsa,PA,75,280,Possession,74,91,elite,97,high,2856963,uncommitted
person_016558,2027,WR,2,136,,,Oklahoma City,TN,70,173,Coverage,49,55,normal,78,medium,54782,uncommitted
person_016559,2027,ATH,3,137,,,Phoenix,MI,70,203,Zone Fit,65,72,normal,80,low,707662,uncommitted
person_016560,2027,OL,2,138,,,Oklahoma City,MI,77,309,Speed Back,49,65,elite,83,high,459129,uncommitted
person_016561,2027,CB,4,139,,,Charlotte,TX,71,190,Dual Threat,79,91,normal,76,medium,3427406,uncommitted
person_016562,2027,WR,4,140,,,Phoenix,MS,73,172,Deep Threat,80,93,quick,65,medium,542700,uncommitted
person_016563,2027,DL,2,141,,,Tulsa,VA,74,304,Zone Fit,59,71,quick,74,low,168919,uncommitted
person_016564,2027,RB,2,142,,,Cleveland,VA,69,223,Hybrid,47,55,elite,78,low,80685,uncommitted
person_016565,2027,OL,4,143,,,Atlanta,VA,80,300,Run Stopper,79,87,normal,65,high,3643151,uncommitted
person_016566,2027,WR,4,144,,,Los Angeles,PA,70,186,Speed Back,81,94,impact,68,medium,758177,uncommitted
person_016567,2027,DL,3,145,,,Cleveland,TN,79,284,Possession,59,79,normal,64,medium,596173,uncommitted
person_016568,2027,S,4,146,,,Cleveland,MI,75,210,Power Back,75,95,impact,45,low,3292937,uncommitted
person_016569,2027,WR,3,147,,,Atlanta,OH,69,194,Edge Rusher,63,69,normal,65,low,716180,uncommitted
person_016570,2027,DL,3,148,,,Miami,NC,77,274,Mauler,58,72,elite,43,medium,208168,uncommitted
person_016571,2027,DL,4,149,,,Jacksonville,IL,79,309,Edge Rusher,73,93,impact,54,high,3267706,uncommitted
person_016572,2027,OL,3,150,,,New Orleans,MI,80,304,Run Stopper,62,74,quick,67,low,395991,uncommitted
person_016573,2027,TE,3,151,,,Atlanta,FL,80,252,Coverage,67,78,normal,58,medium,1168409,uncommitted
person_016574,2027,K,2,152,,,Dallas,CA,72,182,Power Back,47,57,quick,59,low,473461,uncommitted
person_016575,2027,WR,3,153,,,Cleveland,FL,70,173,Power Back,66,71,elite,65,low,194833,uncommitted
person_016576,2027,LB,2,154,,,Miami,GA,74,248,Coverage,53,62,impact,69,low,399316,uncommitted
person_016577,2027,OL,4,155,,,Cleveland,AZ,78,289,Edge Rusher,77,82,impact,73,low,4205155,uncommitted
person_016578,2027,OL,3,156,,,Dallas,NC,77,308,Dual Threat,66,80,elite,52,high,1056572,uncommitted
person_016579,2027,LB,2,157,,,Detroit,MS,74,233,Hybrid,57,62,elite,58,high,456821,uncommitted
person_016580,2027,EDGE,3,158,,,Jacksonville,MS,74,275,Deep Threat,63,78,impact,99,low,872900,uncommitted
person_016581,2027,EDGE,3,159,,,Cleveland,AL,75,240,Possession,61,68,quick,89,high,470140,uncommitted
person_016582,2027,RB,3,160,,,Baton Rouge,SC,68,217,Hybrid,68,76,elite,58,low,463973,uncommitted
person_016583,2027,DL,4,161,,,Tulsa,CA,78,321,Possession,71,85,impact,76,high,3527447,uncommitted
person_016584,2027,TE,3,162,,,Cleveland,TX,79,243,Dual Threat,65,87,impact,68,low,822415,uncommitted
person_016585,2027,DL,3,163,,,New Orleans,SC,78,318,Run Stopper,68,88,quick,73,low,917962,uncommitted
person_016586,2027,CB,2,164,,,Phoenix,TX,74,173,Hybrid,48,65,quick,88,low,407175,uncommitted
person_016587,2027,LB,2,165,,,Phoenix,PA,76,232,Run Stopper,58,63,impact,78,high,439459,uncommitted
person_016588,2027,DL,2,166,,,New Orleans,TX,75,296,Run Stopper,49,69,impact,61,low,421539,uncommitted
person_016589,2027,DL,2,167,,,Jacksonville,PA,73,302,Field General,54,63,normal,62,low,170552,uncommitted
person_016590,2027,DL,3,168,,,Tulsa,OH,76,277,Zone Fit,62,79,normal,88,low,1511308,uncommitted
person_016591,2027,WR,4,169,,,Los Angeles,VA,73,181,Mauler,73,93,normal,99,medium,2691638,uncommitted
person_016592,2027,P,2,170,,,Houston,MS,73,189,Zone Fit,57,68,impact,68,low,537807,uncommitted
person_016593,2027,DL,3,171,,,New Orleans,TN,79,279,Speed Back,63,72,quick,51,low,211522,uncommitted
person_016594,2027,LB,4,172,,,Charlotte,PA,77,245,Mauler,71,83,normal,69,medium,435684,uncommitted
person_016595,2027,RB,4,173,,,Dallas,SC,73,215,Coverage,78,86,impact,77,low,2970223,uncommitted
person_016596,2027,TE,4,174,,,Miami,FL,79,265,Coverage,69,78,normal,65,high,3349717,uncommitted
person_016597,2027,K,3,175,,,Tulsa,OK,72,180,Possession,61,83,quick,49,low,784692,uncommitted
person_016598,2027,LB,3,176,,,Baton Rouge,SC,77,238,Field General,62,75,impact,65,medium,899927,uncommitted
person_016599,2027,OL,2,177,,,Cleveland,IL,75,335,Field General,58,63,normal,76,medium,327888,uncommitted
person_016600,2027,OL,3,178,,,Tulsa,MS,77,338,Field General,66,86,normal,58,high,1802565,uncommitted
person_016601,2027,LB,4,179,,,Los Angeles,SC,73,235,Field General,71,87,impact,65,low,2724250,uncommitted
person_016602,2027,OL,3,180,,,Atlanta,SC,75,317,Power Back,67,74,normal,64,low,1523114,uncommitted
person_016603,2027,DL,3,181,,,Detroit,NC,74,297,Edge Rusher,64,81,elite,58,low,287883,uncommitted
person_016604,2027,QB,3,182,,,Baton Rouge,TX,74,208,Possession,68,83,impact,61,low,1314605,uncommitted
person_016605,2027,DL,4,183,,,Tampa,VA,74,281,Mauler,79,87,elite,99,low,809274,uncommitted
person_016606,2027,S,2,184,,,Atlanta,MI,70,216,Coverage,48,68,elite,56,medium,385108,uncommitted
person_016607,2027,RB,3,185,,,Charlotte,TX,71,205,Mauler,66,83,elite,76,low,1026018,uncommitted
person_016608,2027,DL,2,186,,,Detroit,CA,78,283,Coverage,51,66,impact,34,high,279224,uncommitted
person_016609,2027,LB,3,187,,,Detroit,PA,75,230,Zone Fit,60,67,elite,82,high,1292433,uncommitted
person_016610,2027,WR,2,188,,,Oklahoma City,MI,68,188,Mauler,59,65,quick,51,low,386753,uncommitted
person_016611,2027,DL,3,189,,,Cleveland,AZ,74,293,Run Stopper,60,65,impact,70,high,1760873,uncommitted
person_016612,2027,WR,2,190,,,Cleveland,AL,77,194,Dual Threat,48,67,quick,73,high,476851,uncommitted
person_016613,2027,TE,4,191,,,Jacksonville,MI,75,239,Deep Threat,74,82,elite,72,low,3697401,uncommitted
person_016614,2027,LB,3,192,,,Jacksonville,NC,72,218,Dual Threat,68,84,elite,93,low,244318,uncommitted
person_016615,2027,EDGE,2,193,,,Miami,AL,77,247,Coverage,55,74,elite,41,low,212561,uncommitted
person_016616,2027,LB,3,194,,,Tampa,IL,72,228,Dual Threat,65,85,impact,90,high,1723338,uncommitted
person_016617,2027,EDGE,2,195,,,Miami,LA,77,262,Deep Threat,52,74,normal,77,medium,69380,uncommitted
person_016618,2027,TE,5,196,,,Detroit,TN,79,251,Hybrid,82,99,elite,86,low,2426567,uncommitted
person_016619,2027,OL,3,197,,,Detroit,TX,75,339,Run Stopper,58,73,quick,74,medium,530811,uncommitted
person_016620,2027,QB,3,198,,,Jacksonville,IL,75,205,Field General,67,87,elite,88,medium,1332383,uncommitted
person_016621,2027,RB,3,199,,,Los Angeles,LA,74,224,Speed Back,61,77,elite,48,high,654623,uncommitted
person_016622,2027,OL,3,200,,,Tampa,LA,80,298,Zone Fit,69,81,impact,52,medium,962516,uncommitted
person_016623,2027,OL,2,201,,,Cleveland,GA,75,325,Mauler,59,77,quick,78,high,538153,uncommitted
person_016624,2027,OL,3,202,,,Atlanta,PA,75,332,Zone Fit,62,73,impact,87,low,1343027,uncommitted
person_016625,2027,S,3,203,,,Atlanta,SC,75,218,Power Back,68,90,quick,99,low,557244,uncommitted
person_016626,2027,S,2,204,,,Cleveland,NC,75,217,Dual Threat,57,75,impact,48,low,109174,uncommitted
person_016627,2027,CB,2,205,,,Baton Rouge,TX,70,203,Zone Fit,54,64,elite,69,low,553507,uncommitted
person_016628,2027,WR,2,206,,,Dallas,NJ,72,212,Field General,55,77,elite,68,low,364611,uncommitted
person_016629,2027,EDGE,2,207,,,Phoenix,PA,75,259,Zone Fit,49,67,impact,79,high,49198,uncommitted
person_016630,2027,EDGE,3,208,,,Cleveland,MI,79,246,Field General,67,73,normal,87,medium,491250,uncommitted
person_016631,2027,ATH,2,209,,,Tampa,IL,77,212,Power Back,55,67,quick,57,low,530583,uncommitted
person_016632,2027,CB,4,210,,,New Orleans,TX,73,205,Run Stopper,71,85,impact,41,high,3383333,uncommitted
person_016633,2027,P,3,211,,,Detroit,IL,73,185,Zone Fit,67,75,quick,99,low,273616,uncommitted
person_016634,2027,OL,3,212,,,Jacksonville,TN,78,297,Edge Rusher,61,74,elite,59,high,650414,uncommitted
person_016635,2027,OL,4,213,,,Tampa,VA,80,320,Field General,73,93,normal,70,medium,2022658,uncommitted
person_016636,2027,DL,4,214,,,Tampa,AZ,78,275,Speed Back,77,91,elite,43,medium,2996821,uncommitted
person_016637,2027,OL,2,215,,,Jacksonville,MS,80,326,Power Back,57,71,elite,52,low,551419,uncommitted
person_016638,2027,DL,2,216,,,Charlotte,GA,75,290,Possession,53,75,impact,47,low,119066,uncommitted
person_016639,2027,CB,3,217,,,Cleveland,AZ,72,196,Power Back,68,86,quick,68,low,1010773,uncommitted
person_016640,2027,WR,3,218,,,Miami,TX,75,173,Coverage,62,84,impact,72,low,1015020,uncommitted
person_016641,2027,CB,3,219,,,Jacksonville,GA,71,175,Field General,60,76,normal,58,low,1132730,uncommitted
person_016642,2027,OL,3,220,,,Tulsa,VA,79,288,Dual Threat,57,78,normal,57,low,1672261,uncommitted
person_016643,2027,OL,3,221,,,Phoenix,CA,75,304,Speed Back,62,73,normal,73,low,892298,uncommitted
person_016644,2027,K,3,222,,,New Orleans,SC,72,196,Zone Fit,60,71,elite,59,high,700943,uncommitted
person_016645,2027,EDGE,2,223,,,Atlanta,AL,76,257,Deep Threat,51,62,normal,72,high,154681,uncommitted
person_016646,2027,DL,3,224,,,Oklahoma City,TN,77,298,Edge Rusher,62,67,impact,59,medium,435091,uncommitted
person_016647,2027,LB,5,225,,,Detroit,MI,77,218,Hybrid,84,99,normal,87,low,2479724,uncommitted
person_016648,2027,EDGE,2,226,,,Tulsa,NC,79,258,Run Stopper,48,59,normal,58,medium,424499,uncommitted
person_016649,2027,LS,3,227,,,Houston,MI,76,239,Run Stopper,67,75,normal,78,low,1732299,uncommitted
person_016650,2027,DL,4,228,,,New Orleans,MS,73,323,Power Back,80,99,quick,66,low,1572568,uncommitted
person_016651,2027,OL,3,229,,,Dallas,GA,79,321,Power Back,60,66,elite,54,low,1039730,uncommitted
person_016652,2027,LS,5,230,,,Tulsa,NJ,74,253,Possession,90,99,elite,70,medium,6012072,uncommitted
person_016653,2027,LB,4,231,,,Charlotte,SC,75,227,Speed Back,81,99,quick,77,low,3658913,uncommitted
person_016654,2027,TE,2,232,,,Atlanta,MI,79,264,Run Stopper,51,63,elite,77,low,340261,uncommitted
person_016655,2027,LB,2,233,,,Baton Rouge,TN,76,220,Field General,50,56,normal,66,low,470257,uncommitted
person_016656,2027,RB,4,234,,,Jacksonville,SC,69,221,Zone Fit,74,85,quick,63,high,3178054,uncommitted
person_016657,2027,WR,3,235,,,Atlanta,TX,72,183,Dual Threat,59,74,elite,60,medium,502221,uncommitted
person_016658,2027,LS,5,236,,,Charlotte,PA,76,244,Power Back,81,99,normal,74,low,7723814,uncommitted
person_016659,2027,RB,3,237,,,Jacksonville,NJ,68,197,Speed Back,61,74,normal,86,low,1006678,uncommitted
person_016660,2027,LB,3,238,,,Miami,SC,73,250,Zone Fit,66,74,quick,73,high,687286,uncommitted
person_016661,2027,LB,4,239,,,Atlanta,OH,72,241,Dual Threat,71,87,normal,66,medium,999220,uncommitted
person_016662,2027,WR,3,240,,,Atlanta,CA,77,213,Field General,65,70,elite,99,medium,1302320,uncommitted
person_016663,2027,QB,2,241,,,Houston,TN,76,209,Coverage,52,66,quick,70,low,503573,uncommitted
person_016664,2027,DL,3,242,,,Phoenix,TN,79,313,Speed Back,69,86,normal,90,low,286522,uncommitted
person_016665,2027,WR,3,243,,,Baton Rouge,TX,72,193,Mauler,65,79,elite,53,medium,173085,uncommitted
