personId,primaryPosition,secondaryPosition,jerseyNumber,heightInches,weightPounds,classYear,eligibilityYearsRemaining,redshirtStatus,transferStatus,depthChartRole,captainStatus,schemeFit,developmentSpeed,playingTimeExpectation,academicStanding
person_000048,OL,,80,80,304,SR,4,available,none,rotation,False,61,57,special teams,60
person_000049,OL,,87,79,299,FR,4,available,none,developmental,False,56,61,rotation,84
person_000050,OL,,16,75,330,FR,4,available,none,rotation,False,67,60,developmental,60
person_000051,OL,,62,79,330,SR,4,available,none,developmental,False,80,32,star,69
person_000052,OL,,85,80,287,RS SR,4,redshirted,none,rotation,False,82,66,starter,75
person_000053,OL,,48,80,324,RS JR,2,redshirted,none,starter,False,93,66,star,65
person_000054,OL,,94,79,336,FR,1,available,none,rotation,False,72,86,star,73
person_000055,OL,,52,76,290,JR,4,available,none,rotation,False,89,53,developmental,69
person_000056,OL,,88,75,340,SO,3,available,none,starter,False,61,66,special teams,48
person_000057,OL,,37,80,337,RS SR,4,redshirted,none,backup,False,99,54,star,81
person_000058,OL,,20,77,314,JR,3,available,none,rotation,False,84,80,starter,52
person_000059,OL,,35,76,335,RS SR,2,redshirted,none,starter,False,99,43,star,84
person_000060,OL,,38,75,337,SO,4,available,none,developmental,False,64,68,rotation,62
person_000061,OL,,87,77,302,SO,3,available,none,starter,False,67,73,starter,57
person_000062,OL,,4,78,333,SO,1,available,none,developmental,False,73,65,star,75
person_000063,OL,,36,77,330,RS JR,1,redshirted,none,starter,False,90,75,special teams,68
person_000064,OL,,62,77,294,SR,4,available,none,rotation,False,74,70,star,75
person_000065,DL,,86,77,294,RS SR,3,redshirted,none,backup,False,73,66,rotation,57
person_000066,DL,,73,73,289,RS SO,4,redshirted,none,rotation,False,99,58,special teams,81
person_000067,DL,,30,74,286,RS FR,4,redshirted,none,rotation,False,58,78,rotation,53
person_000068,DL,,75,75,325,RS SO,1,redshirted,none,developmental,False,58,57,special teams,51
person_000069,DL,,12,79,291,FR,2,available,none,backup,False,45,85,special teams,69
person_000070,DL,,51,79,280,FR,4,available,none,backup,False,73,62,special teams,87
person_000071,DL,,77,76,292,JR,1,available,none,starter,False,54,55,developmental,66
person_000072,DL,,15,76,277,RS FR,3,redshirted,none,starter,False,67,98,special teams,78
person_000073,DL,,11,79,325,RS FR,1,redshirted,none,rotation,False,61,51,starter,82
person_000074,DL,,13,73,302,JR,4,available,none,developmental,False,90,45,rotation,59
person_000075,EDGE,,3,74,279,SR,2,available,none,developmental,False,82,49,special teams,74
person_000076,EDGE,,44,79,247,RS SR,4,redshirted,none,rotation,False,58,51,special teams,83
person_000077,EDGE,,6,74,280,RS JR,4,redshirted,none,developmental,False,72,16,special teams,49
person_000078,EDGE,,51,76,255,RS JR,2,redshirted,none,developmental,False,82,39,starter,74
person_000079,EDGE,,93,77,267,FR,1,available,none,backup,False,74,65,star,53
person_000080,EDGE,,20,79,261,SR,2,available,none,rotation,False,63,77,special teams,75
person_000081,EDGE,,11,75,255,SO,4,available,none,developmental,False,52,79,developmental,68
person_000082,LB,,52,72,224,RS FR,2,redshirted,none,starter,False,75,69,star,68
person_000083,LB,,34,72,218,RS SR,3,redshirted,none,developmental,False,83,55,special teams,68
person_000084,LB,,45,74,239,RS FR,4,redshirted,none,rotation,False,64,17,star,38
person_000085,LB,,41,77,218,JR,4,available,none,developmental,False,84,47,rotation,66
person_000086,LB,,78,75,218,FR,4,available,none,starter,False,63,67,developmental,54
person_000087,LB,,7,76,224,SO,2,available,none,starter,False,98,76,starter,73
person_000088,LB,,43,74,226,RS JR,2,redshirted,none,rotation,False,85,78,star,91
person_000089,LB,,66,76,238,RS FR,4,redshirted,none,rotation,False,48,85,developmental,52
person_000090,LB,,25,76,227,RS FR,3,redshirted,none,backup,False,78,40,rotation,77
person_000091,LB,,87,75,242,SO,4,available,none,backup,False,95,70,starter,90
person_000092,LB,,75,76,234,RS SO,2,redshirted,none,developmental,False,96,65,star,79
person_000093,CB,,57,74,190,RS SR,2,redshirted,none,backup,False,68,66,developmental,53
person_000094,CB,,87,71,171,SR,1,available,none,rotation,False,87,93,starter,85
person_000095,CB,,2,73,170,FR,1,available,none,backup,False,60,71,star,83
person_000096,CB,,92,68,197,SO,2,available,none,rotation,False,64,53,special teams,63
person_000097,CB,,4,73,174,RS SR,1,redshirted,none,developmental,False,93,91,rotation,73
person_000098,CB,,44,74,175,JR,2,available,none,backup,False,96,81,rotation,64
person_000099,CB,,62,72,203,FR,4,available,none,backup,False,56,88,rotation,96
person_000100,CB,,91,70,182,RS FR,1,redshirted,none,rotation,False,35,94,special teams,84
person_000101,CB,,39,72,170,RS SO,1,redshirted,none,rotation,False,90,63,rotation,80
person_000102,S,,9,75,215,SR,3,available,none,backup,False,96,77,developmental,96
person_000103,S,,83,74,196,RS SO,4,redshirted,none,starter,False,89,45,rotation,60
person_000104,S,,46,70,190,SO,2,available,none,developmental,False,85,58,star,61
person_000105,S,,40,73,194,RS SO,4,redshirted,none,developmental,True,71,61,star,49
person_000106,S,,58,72,200,SO,2,available,none,developmental,False,60,71,rotation,54
person_000107,S,,48,73,216,RS SO,2,redshirted,none,backup,False,63,88,special teams,86
person_000108,S,,20,72,191,SR,2,available,none,backup,False,94,99,starter,71
person_000109,K,,98,71,190,RS SR,1,redshirted,none,backup,False,69,98,starter,46
person_000110,K,,0,71,177,RS JR,1,redshirted,none,backup,False,51,72,star,60
person_000111,P,,97,75,191,RS SO,3,redshirted,none,backup,False,84,26,star,53
person_000112,P,,21,72,210,RS SR,2,redshirted,none,starter,False,54,90,rotation,80
person_000113,LS,,80,73,257,JR,4,available,none,rotation,False,84,46,starter,75
person_000114,ATH,DB,90,70,235,FR,1,available,none,rotation,False,89,67,starter,40
person_000115,ATH,RB,85,72,228,FR,3,available,none,backup,False,99,89,rotation,93
person_000116,ATH,RB,2,73,229,RS SO,3,redshirted,none,developmental,False,90,71,rotation,68
person_000117,ATH,WR,50,72,217,FR,4,available,none,developmental,False,87,30,special teams,67
person_000118,ATH,WR,40,70,221,RS SO,1,redshirted,none,backup,True,86,56,developmental,79
person_000119,ATH,WR,18,77,191,SR,3,available,none,starter,False,78,68,rotation,76
person_000134,QB,,47,73,217,RS JR,3,redshirted,none,starter,False,85,64,star,72
person_000135,QB,,89,76,215,RS FR,4,redshirted,none,starter,False,66,40,rotation,46
person_000136,QB,,84,72,217,RS JR,2,redshirted,none,starter,False,49,84,starter,77
person_000137,QB,,6,76,216,RS FR,4,redshirted,none,starter,False,83,52,developmental,75
person_000138,QB,,45,72,205,FR,4,available,none,starter,False,35,51,star,71
person_000139,RB,,33,72,218,RS FR,3,redshirted,none,starter,False,90,51,rotation,79
person_000140,RB,,4,70,204,SO,4,available,none,starter,False,83,92,developmental,38
person_000141,RB,,6,70,198,SR,4,available,none,starter,False,47,55,special teams,56
person_000142,RB,,69,74,205,RS SR,3,redshirted,none,starter,False,78,33,special teams,76
person_000143,RB,,19,72,214,SO,3,available,none,starter,False,69,47,starter,64
person_000144,RB,,22,73,191,JR,3,available,none,starter,False,60,68,special teams,61
person_000145,RB,,32,70,191,JR,4,available,none,starter,False,99,98,rotation,82
person_000146,WR,,99,68,171,RS SO,2,redshirted,none,starter,False,91,44,star,66
person_000147,WR,,69,71,203,RS JR,1,redshirted,none,starter,False,76,88,special teams,57
person_000148,WR,,54,77,197,RS JR,1,redshirted,none,starter,False,52,50,rotation,91
person_000149,WR,,35,73,174,RS SO,3,redshirted,none,starter,False,72,83,starter,84
person_000150,WR,,13,77,171,JR,2,available,none,starter,False,50,63,special teams,75
person_000151,WR,,86,77,178,RS FR,2,redshirted,none,starter,False,70,70,star,58
person_000152,WR,,47,68,207,RS SR,4,redshirted,none,starter,False,57,73,special teams,66
person_000153,WR,,73,68,193,SO,4,available,none,starter,False,99,31,rotation,67
person_000154,WR,,78,75,205,SO,2,available,none,starter,False,95,72,special teams,56
person_000155,WR,,43,72,173,RS JR,1,redshirted,none,starter,False,94,45,starter,80
person_000156,WR,,34,70,217,RS SO,1,redshirted,none,starter,False,75,35,developmental,93
person_000157,WR,,78,75,207,RS JR,4,redshirted,none,rotation,False,84,46,rotation,71
person_000158,WR,,26,76,213,JR,3,available,none,backup,False,83,81,starter,81
person_000159,WR,,29,77,212,SR,2,available,none,starter,False,80,57,developmental,65
person_000160,TE,,42,75,249,RS JR,1,redshirted,none,backup,False,59,65,rotation,81
person_000161,TE,,64,80,233,SO,2,available,none,backup,False,99,51,starter,74
person_000162,TE,,11,78,246,RS SO,4,redshirted,none,backup,False,71,86,developmental,80
person_000163,TE,,93,79,259,RS JR,4,redshirted,none,developmental,False,54,65,rotation,84
person_000164,TE,,61,77,230,RS SO,2,redshirted,none,backup,False,69,59,starter,88
person_000165,TE,,22,78,232,SO,2,available,none,developmental,False,99,75,star,56
person_000166,OL,,98,77,328,RS SR,1,redshirted,none,backup,False,84,68,rotation,69
person_000167,OL,,60,76,329,RS SO,2,redshirted,none,developmental,False,68,61,special teams,62
person_000168,OL,,37,79,308,RS FR,3,redshirted,none,developmental,False,89,70,starter,57
person_000169,OL,,24,78,322,FR,1,available,none,rotation,False,25,17,special teams,35
person_000170,OL,,53,78,289,RS SO,3,redshirted,none,starter,False,31,31,star,46
person_000171,OL,,20,77,330,SO,3,available,none,developmental,False,98,60,starter,63
person_000172,OL,,94,79,299,RS SO,2,redshirted,none,backup,False,90,70,rotation,59
person_000173,OL,,24,75,331,RS SO,4,redshirted,none,starter,False,76,53,starter,76
person_000174,OL,,20,76,339,RS SO,2,redshirted,none,backup,False,96,62,developmental,72
person_000175,OL,,7,78,300,RS SR,1,redshirted,none,starter,False,95,62,rotation,83
person_000176,OL,,47,79,288,RS FR,1,redshirted,none,developmental,False,99,56,rotation,74
person_000177,OL,,98,77,319,RS SO,3,redshirted,none,rotation,False,67,74,star,80
person_000178,OL,,46,75,336,RS SR,4,redshirted,none,backup,False,96,64,developmental,75
person_000179,OL,,42,77,338,RS FR,1,redshirted,none,developmental,True,84,93,star,48
person_000180,OL,,16,77,333,JR,3,available,none,developmental,False,93,88,star,70
person_000181,OL,,55,77,293,SO,1,available,none,rotation,False,75,99,starter,52
person_000182,OL,,31,76,333,JR,4,available,none,rotation,False,71,72,rotation,99
person_000183,OL,,53,80,316,RS SO,1,redshirted,none,starter,False,64,60,rotation,92
person_000184,DL,,99,79,310,RS SR,4,redshirted,none,starter,False,88,88,rotation,96
person_000185,DL,,96,76,293,SO,2,available,none,rotation,False,82,80,special teams,64
person_000186,DL,,51,79,303,RS SR,4,redshirted,none,backup,False,99,61,rotation,58
person_000187,DL,,55,78,308,RS FR,2,redshirted,none,developmental,False,46,72,rotation,61
person_000188,DL,,57,73,291,SO,1,available,none,backup,True,30,33,star,67
person_000189,DL,,43,77,274,RS JR,2,redshirted,none,backup,False,91,60,developmental,75
person_000190,DL,,22,77,324,RS SO,3,redshirted,none,starter,False,99,91,starter,69
person_000191,DL,,62,73,277,SR,1,available,none,rotation,False,79,91,developmental,68
person_000192,DL,,8,75,302,RS JR,2,redshirted,none,rotation,False,87,90,star,74
person_000193,DL,,22,75,310,RS SR,4,redshirted,none,backup,False,69,68,rotation,80
person_000194,EDGE,,23,77,268,SR,4,available,none,starter,False,85,83,rotation,91
person_000195,EDGE,,60,78,275,SO,3,available,none,rotation,False,78,56,developmental,73
person_000196,EDGE,,39,75,279,JR,3,available,none,developmental,False,71,77,developmental,63
person_000197,EDGE,,85,79,264,FR,1,available,none,starter,False,69,96,star,79
person_000198,EDGE,,83,75,268,SR,3,available,none,backup,False,95,68,rotation,74
person_000199,EDGE,,12,75,248,SO,1,available,none,developmental,False,63,77,developmental,61
person_000200,EDGE,,24,76,279,RS SO,2,redshirted,none,backup,False,56,48,special teams,50
person_000201,LB,,31,76,233,RS SO,4,redshirted,none,developmental,False,78,53,starter,72
person_000202,LB,,11,73,230,SO,3,available,none,backup,False,57,81,developmental,66
person_000203,LB,,68,73,224,RS JR,1,redshirted,none,backup,False,70,78,starter,70
person_000204,LB,,78,77,230,RS SR,1,redshirted,none,starter,False,62,41,rotation,81
person_000205,LB,,55,72,217,RS SR,4,redshirted,none,developmental,False,99,68,star,98
person_000206,LB,,45,74,223,RS SR,4,redshirted,none,developmental,False,80,57,star,53
person_000207,LB,,26,73,240,FR,1,available,none,rotation,True,88,67,starter,80
person_000208,LB,,70,72,235,RS FR,4,redshirted,none,rotation,False,89,80,special teams,86
person_000209,LB,,90,74,242,RS FR,3,redshirted,none,starter,False,69,69,developmental,75
person_000210,LB,,22,73,221,RS SO,4,redshirted,none,starter,False,99,80,star,28
person_000211,LB,,62,75,247,JR,4,available,none,rotation,False,86,76,rotation,51
person_000212,CB,,68,70,199,RS JR,3,redshirted,none,rotation,False,77,69,developmental,86
person_000213,CB,,40,74,185,JR,2,available,none,rotation,False,96,71,special teams,62
person_000214,CB,,51,73,194,SR,2,available,none,rotation,False,73,73,rotation,81
person_000215,CB,,8,69,184,JR,2,available,none,starter,False,75,37,starter,59
person_000216,CB,,58,69,170,RS FR,4,redshirted,none,developmental,False,55,28,developmental,99
person_000217,CB,,49,69,176,RS SR,4,redshirted,none,starter,False,85,52,developmental,83
person_000218,CB,,54,69,196,FR,3,available,none,rotation,True,99,79,rotation,66
person_000219,CB,,10,71,195,RS SO,2,redshirted,none,rotation,False,74,90,rotation,63
person_000220,CB,,21,68,182,JR,4,available,none,developmental,False,59,51,special teams,87
person_000221,S,,20,72,198,RS SR,4,redshirted,none,rotation,False,81,98,rotation,78
person_000222,S,,75,73,218,RS SO,2,redshirted,none,developmental,False,77,60,special teams,53
person_000223,S,,49,74,203,JR,3,available,none,rotation,False,57,73,star,90
person_000224,S,,32,71,219,JR,1,available,none,starter,False,84,79,special teams,77
person_000225,S,,31,72,192,RS FR,3,redshirted,none,developmental,False,65,69,rotation,66
person_000226,S,,34,70,206,JR,1,available,none,rotation,False,80,57,star,73
person_000227,S,,75,74,216,JR,2,available,none,backup,False,81,36,special teams,58
person_000228,K,,35,72,184,FR,2,available,none,developmental,False,50,70,star,59
person_000229,K,,80,74,186,RS SO,4,redshirted,none,starter,False,98,69,special teams,59
person_000230,P,,13,74,179,SO,4,available,none,rotation,False,80,82,star,69
person_000231,P,,2,75,211,RS JR,3,redshirted,none,rotation,False,98,90,starter,73
person_000232,LS,,42,76,257,RS SO,4,redshirted,none,rotation,False,67,50,starter,84
person_000233,ATH,RB,22,75,218,FR,1,available,none,developmental,False,59,70,starter,63
person_000234,ATH,RB,76,72,190,SR,4,available,none,backup,False,87,61,starter,75
person_000235,ATH,LB,32,71,188,RS SR,1,redshirted,none,starter,False,82,60,starter,34
person_000236,ATH,DB,43,73,231,RS JR,2,redshirted,none,backup,False,99,43,star,58
person_000237,ATH,WR,80,71,219,RS FR,2,redshirted,none,developmental,False,99,52,starter,77
person_000238,ATH,WR,15,71,204,SR,3,available,none,starter,False,72,83,developmental,68
person_000253,QB,,96,77,215,SR,4,available,none,starter,False,90,96,special teams,74
person_000254,QB,,4,76,196,JR,3,available,none,starter,False,89,91,starter,64
person_000255,QB,,63,73,203,SO,1,available,none,starter,False,94,38,star,66
person_000256,QB,,75,75,205,RS JR,2,redshirted,none,starter,False,91,69,rotation,87
person_000257,QB,,53,77,206,RS SR,4,redshirted,none,starter,False,99,73,developmental,68
person_000258,RB,,75,73,207,JR,4,available,none,starter,False,74,70,special teams,58
person_000259,RB,,91,71,227,RS FR,4,redshirted,none,starter,False,84,59,starter,43
person_000260,RB,,44,73,195,RS SR,4,redshirted,none,starter,False,80,62,special teams,99
person_000261,RB,,21,69,205,RS JR,3,redshirted,none,starter,False,66,52,special teams,81
person_000262,RB,,86,72,223,RS SR,1,redshirted,none,starter,False,99,46,star,87
person_000263,RB,,99,74,195,RS FR,2,redshirted,none,starter,False,79,99,special teams,70
person_000264,RB,,97,73,211,SO,4,available,none,starter,False,51,73,starter,89
person_000265,WR,,29,75,171,FR,4,available,none,starter,False,61,84,rotation,53
person_000266,WR,,86,72,209,RS JR,3,redshirted,none,starter,False,99,55,starter,74
person_000267,WR,,14,71,195,RS FR,2,redshirted,none,starter,True,85,60,special teams,83
person_000268,WR,,98,68,217,FR,1,available,none,starter,False,54,39,rotation,62
person_000269,WR,,74,77,188,SO,1,available,none,starter,False,85,66,rotation,78
person_000270,WR,,57,72,204,JR,3,available,none,starter,False,99,64,developmental,60
person_000271,WR,,36,71,181,SR,2,available,none,starter,False,94,71,developmental,46
person_000272,WR,,11,69,197,JR,3,available,none,starter,False,99,74,starter,70
person_000273,WR,,93,76,204,SO,1,available,none,starter,False,57,70,star,68
person_000274,WR,,26,77,204,RS FR,4,redshirted,none,starter,False,62,41,starter,82
person_000275,WR,,47,71,220,RS JR,3,redshirted,none,developmental,False,83,30,starter,72
person_000276,WR,,34,73,198,RS SR,4,redshirted,none,rotation,False,87,53,starter,76
person_000277,WR,,68,72,219,RS SO,4,redshirted,none,starter,False,89,54,starter,71
person_000278,WR,,85,74,192,SR,3,available,none,backup,False,97,86,special teams,76
person_000279,TE,,83,76,243,RS FR,2,redshirted,none,developmental,False,69,88,star,74
person_000280,TE,,35,79,262,RS SO,4,redshirted,none,rotation,False,66,52,special teams,96
person_000281,TE,,55,79,242,JR,4,available,none,rotation,False,99,82,special teams,57
person_000282,TE,,90,77,237,RS JR,1,redshirted,none,rotation,False,78,56,star,76
person_000283,TE,,17,78,240,RS FR,3,redshirted,none,developmental,False,51,64,special teams,59
person_000284,TE,,40,75,259,RS SO,1,redshirted,none,starter,False,99,64,star,92
person_000285,OL,,51,79,288,RS JR,3,redshirted,none,developmental,True,88,70,special teams,74
person_000286,OL,,37,79,328,RS SO,4,redshirted,none,developmental,False,96,62,star,62
person_000287,OL,,96,76,327,SO,1,available,none,starter,True,68,93,special teams,73
person_000288,OL,,61,78,330,FR,3,available,none,rotation,False,76,91,special teams,64
person_000289,OL,,65,79,320,SR,3,available,none,rotation,True,98,59,developmental,62
person_000290,OL,,77,78,329,RS JR,2,redshirted,none,starter,False,89,92,special teams,57
person_000291,OL,,96,76,331,JR,4,available,none,rotation,True,89,76,rotation,51
person_000292,OL,,7,78,297,SO,3,available,none,rotation,False,99,46,developmental,76
person_000293,OL,,73,78,294,SR,4,available,none,backup,False,88,79,rotation,69
person_000294,OL,,58,79,306,RS FR,2,redshirted,none,backup,False,62,56,starter,78
person_000295,OL,,2,77,303,SR,1,available,none,backup,False,99,49,rotation,44
person_000296,OL,,45,80,328,SR,2,available,none,rotation,False,77,91,developmental,81
person_000297,OL,,83,75,308,FR,1,available,none,starter,True,99,94,starter,69
person_000298,OL,,36,76,318,SO,3,available,none,developmental,False,77,80,starter,48
person_000299,OL,,81,79,286,SO,1,available,none,backup,False,99,84,special teams,85
person_000300,OL,,93,80,315,FR,3,available,none,developmental,False,62,55,starter,87
person_000301,OL,,61,76,312,RS SR,2,redshirted,none,starter,False,91,64,developmental,58
person_000302,OL,,59,75,285,JR,4,available,none,backup,False,99,55,developmental,57
person_000303,DL,,67,75,309,RS SR,3,redshirted,none,developmental,False,91,91,starter,66
person_000304,DL,,88,74,273,JR,2,available,none,starter,False,80,45,rotation,84
person_000305,DL,,49,75,295,JR,2,available,none,starter,False,94,56,star,79
person_000306,DL,,40,75,283,RS SR,1,redshirted,none,rotation,False,90,32,star,83
person_000307,DL,,71,74,284,FR,3,available,none,developmental,False,72,68,starter,87
person_000308,DL,,74,75,308,RS SR,3,redshirted,none,developmental,False,79,59,special teams,69
person_000309,DL,,58,74,284,RS FR,2,redshirted,none,rotation,True,58,57,star,60
person_000310,DL,,21,75,320,RS JR,2,redshirted,none,backup,False,99,66,developmental,67
person_000311,DL,,5,79,324,RS JR,1,redshirted,none,backup,False,89,55,starter,88
person_000312,DL,,95,75,325,RS SR,3,redshirted,none,starter,False,84,53,starter,76
person_000313,EDGE,,43,75,269,SO,2,available,none,developmental,False,96,74,star,66
person_000314,EDGE,,9,76,241,SR,2,available,none,rotation,False,73,53,starter,68
person_000315,EDGE,,84,76,257,RS JR,4,redshirted,none,rotation,False,99,68,starter,66
person_000316,EDGE,,77,74,267,RS SR,3,redshirted,none,starter,False,90,99,special teams,82
person_000317,EDGE,,33,78,273,FR,1,available,none,backup,False,74,63,developmental,77
person_000318,EDGE,,76,76,243,RS JR,1,redshirted,none,developmental,False,74,26,special teams,82
person_000319,EDGE,,27,79,257,RS JR,1,redshirted,none,rotation,False,81,47,star,69
person_000320,LB,,29,74,232,FR,3,available,none,rotation,False,87,80,special teams,67
person_000321,LB,,41,77,228,SO,2,available,none,developmental,False,90,59,special teams,64
person_000322,LB,,37,75,248,RS SO,3,redshirted,none,rotation,False,73,84,special teams,72
person_000323,LB,,23,72,220,RS SO,2,redshirted,none,starter,False,58,64,special teams,74
person_000324,LB,,39,76,245,RS SO,2,redshirted,none,backup,False,89,84,special teams,86
person_000325,LB,,37,72,221,SR,2,available,none,developmental,False,83,48,special teams,83
person_000326,LB,,33,76,221,JR,3,available,none,backup,False,70,61,special teams,66
person_000327,LB,,8,76,247,RS FR,4,redshirted,none,rotation,False,32,75,special teams,72
person_000328,LB,,91,72,245,RS SO,3,redshirted,none,starter,False,74,60,rotation,55
person_000329,LB,,8,75,223,SO,3,available,none,rotation,False,88,64,rotation,51
person_000330,LB,,46,73,226,RS SO,2,redshirted,none,starter,False,97,67,starter,79
person_000331,CB,,65,71,205,SR,4,available,none,rotation,False,79,69,star,59
person_000332,CB,,93,68,180,SR,4,available,none,rotation,False,99,55,starter,80
person_000333,CB,,87,74,202,RS SR,2,redshirted,none,rotation,False,98,47,starter,76
person_000334,CB,,0,69,202,FR,2,available,none,developmental,False,67,44,star,67
person_000335,CB,,25,73,181,RS SO,2,redshirted,none,developmental,False,89,67,rotation,91
person_000336,CB,,0,69,199,SR,4,available,none,developmental,False,81,52,developmental,78
person_000337,CB,,2,70,181,RS JR,4,redshirted,none,backup,False,76,59,star,88
person_000338,CB,,64,69,201,SR,4,available,none,starter,False,99,67,starter,75
person_000339,CB,,67,69,205,RS JR,4,redshirted,none,starter,False,86,41,star,67
person_000340,S,,70,70,209,SO,3,available,none,developmental,False,60,63,developmental,68
person_000341,S,,40,74,189,RS FR,2,redshirted,none,starter,False,89,70,developmental,65
person_000342,S,,97,71,209,RS JR,4,redshirted,none,rotation,False,81,57,rotation,75
person_000343,S,,57,74,204,SR,4,available,none,developmental,False,99,67,developmental,67
person_000344,S,,64,75,205,RS FR,4,redshirted,none,developmental,False,75,59,star,77
person_000345,S,,12,74,220,FR,3,available,none,rotation,False,73,99,star,67
person_000346,S,,97,71,193,SO,4,available,none,rotation,False,82,98,star,85
person_000347,K,,35,71,214,FR,3,available,none,starter,False,78,74,starter,70
person_000348,K,,20,72,192,FR,1,available,none,developmental,False,79,47,special teams,64
person_000349,P,,51,74,215,SO,3,available,none,developmental,False,99,49,special teams,56
person_000350,P,,16,75,191,RS SR,2,redshirted,none,starter,False,95,98,rotation,65
person_000351,LS,,51,75,228,RS SO,2,redshirted,none,starter,False,95,86,special teams,72
person_000352,ATH,DB,43,77,187,SO,1,available,none,backup,False,99,73,rotation,85
person_000353,ATH,RB,86,72,239,SO,1,available,none,rotation,False,99,44,star,99
person_000354,ATH,DB,98,70,195,RS FR,3,redshirted,none,starter,False,85,72,developmental,80
person_000355,ATH,LB,82,76,188,FR,4,available,none,starter,False,63,77,special teams,69
person_000356,ATH,LB,75,75,187,SR,2,available,none,rotation,True,99,46,starter,72
person_000357,ATH,RB,15,74,221,SR,4,available,none,starter,False,88,50,star,56
person_000372,QB,,78,75,218,FR,4,available,none,starter,False,91,83,rotation,64
person_000373,QB,,34,75,213,JR,4,available,none,starter,False,73,22,developmental,82
person_000374,QB,,1,72,213,RS JR,3,redshirted,none,starter,False,81,57,star,86
person_000375,QB,,76,77,233,FR,2,available,none,starter,False,28,61,special teams,64
person_000376,QB,,31,75,221,RS JR,3,redshirted,none,starter,False,89,29,rotation,55
person_000377,RB,,14,70,226,FR,2,available,none,starter,False,57,89,special teams,75
person_000378,RB,,17,74,216,RS JR,3,redshirted,none,starter,False,84,65,developmental,75
person_000379,RB,,95,68,223,RS SR,3,redshirted,none,starter,False,59,55,rotation,75
person_000380,RB,,50,69,200,SR,4,available,none,starter,False,87,45,rotation,78
person_000381,RB,,86,74,215,RS FR,2,redshirted,none,starter,False,40,68,starter,26
person_000382,RB,,90,68,205,RS JR,4,redshirted,none,starter,False,38,62,developmental,89
person_000383,RB,,13,72,224,JR,3,available,none,starter,False,70,50,rotation,65
person_000384,WR,,76,75,217,RS FR,3,redshirted,none,starter,False,66,49,developmental,62
person_000385,WR,,48,70,188,SR,3,available,none,starter,False,64,74,rotation,75
person_000386,WR,,8,74,210,JR,4,available,none,starter,False,83,35,special teams,75
person_000387,WR,,39,72,209,FR,2,available,none,starter,False,66,89,developmental,83
