personId,traitId,traitName,category,polarity,strength
person_000064,nil_driven,Nil Driven,personality,mixed,2
person_000064,raw_athlete,Raw Athlete,physical/availability,mixed,4
person_000064,locker_room_leader,Locker Room Leader,personality,mixed,1
person_000065,poor_practice_habits,Poor Practice Habits,personality,positive,2
person_000065,slow_learner,Slow Learner,personality,mixed,4
person_000066,high_motor,High Motor,physical/availability,positive,3
person_000066,volatile_confidence,Volatile Confidence,personality,mixed,2
person_000066,transfer_risk,Transfer Risk,personality,positive,2
person_000067,poor_practice_habits,Poor Practice Habits,personality,positive,2
person_000067,transfer_risk,Transfer Risk,personality,negative,1
person_000067,locker_room_leader,Locker Room Leader,personality,mixed,3
person_000068,nil_driven,Nil Driven,personality,positive,3
person_000068,film_junkie,Film Junkie,personality,positive,2
person_000069,high_motor,High Motor,physical/availability,mixed,2
person_000070,clutch,Clutch,personality,mixed,2
person_000071,high_football_iq,High Football Iq,personality,positive,2
person_000071,coachable,Coachable,personality,positive,1
person_000072,coachable,Coachable,personality,mixed,5
person_000073,nil_driven,Nil Driven,personality,mixed,4
person_000074,slow_learner,Slow Learner,personality,mixed,5
person_000074,coachable,Coachable,personality,negative,4
person_000074,competitor,Competitor,personality,mixed,5
person_000075,slow_learner,Slow Learner,personality,positive,5
person_000075,locker_room_leader,Locker Room Leader,personality,positive,4
person_000075,competitor,Competitor,personality,negative,3
person_000076,raw_athlete,Raw Athlete,physical/availability,negative,1
person_000076,big_game_performer,Big Game Performer,personality,positive,3
person_000076,high_motor,High Motor,physical/availability,mixed,1
person_000077,competitor,Competitor,personality,positive,5
person_000077,locker_room_leader,Locker Room Leader,personality,mixed,2
person_000078,loyal,Loyal,personality,negative,2
person_000078,poor_discipline,Poor Discipline,personality,negative,5
person_000078,competitor,Competitor,personality,mixed,2
person_000079,high_motor,High Motor,physical/availability,positive,4
person_000080,competitor,Competitor,personality,positive,4
person_000080,film_junkie,Film Junkie,personality,mixed,5
person_000080,high_motor,High Motor,physical/availability,mixed,5
person_000081,loyal,Loyal,personality,positive,4
person_000081,poor_discipline,Poor Discipline,personality,positive,3
person_000081,nil_driven,Nil Driven,personality,mixed,2
person_000082,high_motor,High Motor,physical/availability,negative,5
person_000082,coachable,Coachable,personality,positive,2
person_000082,volatile_confidence,Volatile Confidence,personality,mixed,5
person_000083,clutch,Clutch,personality,negative,2
person_000083,big_game_performer,Big Game Performer,personality,mixed,5
person_000084,raw_athlete,Raw Athlete,physical/availability,positive,1
person_000084,film_junkie,Film Junkie,personality,positive,3
person_000084,nil_driven,Nil Driven,personality,negative,2
person_000085,volatile_confidence,Volatile Confidence,personality,negative,2
person_000085,loyal,Loyal,personality,positive,5
person_000086,nil_driven,Nil Driven,personality,negative,4
person_000087,competitor,Competitor,personality,positive,5
person_000088,high_football_iq,High Football Iq,personality,positive,1
person_000088,loyal,Loyal,personality,negative,3
person_000089,raw_athlete,Raw Athlete,physical/availability,mixed,2
person_000090,high_motor,High Motor,physical/availability,negative,4
person_000091,clutch,Clutch,personality,mixed,4
person_000091,raw_athlete,Raw Athlete,physical/availability,positive,1
person_000091,slow_learner,Slow Learner,personality,positive,5
person_000092,transfer_risk,Transfer Risk,personality,negative,5
person_000093,injury_prone,Injury Prone,physical/availability,positive,5
person_000093,coachable,Coachable,personality,negative,1
person_000093,competitor,Competitor,personality,mixed,3
person_000094,raw_athlete,Raw Athlete,physical/availability,negative,3
person_000094,transfer_risk,Transfer Risk,personality,negative,4
person_000094,volatile_confidence,Volatile Confidence,personality,negative,2
person_000095,loyal,Loyal,personality,negative,1
person_000095,raw_athlete,Raw Athlete,physical/availability,positive,4
person_000095,locker_room_leader,Locker Room Leader,personality,positive,2
person_000096,slow_learner,Slow Learner,personality,positive,2
person_000097,big_game_performer,Big Game Performer,personality,positive,4
person_000098,poor_practice_habits,Poor Practice Habits,personality,positive,3
person_000098,transfer_risk,Transfer Risk,personality,positive,5
person_000099,loyal,Loyal,personality,negative,4
person_000100,film_junkie,Film Junkie,personality,negative,4
person_000100,loyal,Loyal,personality,negative,5
person_000100,injury_prone,Injury Prone,physical/availability,mixed,2
person_000101,high_football_iq,High Football Iq,personality,negative,2
person_000101,injury_prone,Injury Prone,physical/availability,negative,1
person_000102,volatile_confidence,Volatile Confidence,personality,positive,5
person_000103,poor_practice_habits,Poor Practice Habits,personality,positive,2
person_000103,injury_prone,Injury Prone,physical/availability,negative,2
person_000103,loyal,Loyal,personality,positive,5
person_000104,transfer_risk,Transfer Risk,personality,negative,4
person_000105,poor_discipline,Poor Discipline,personality,negative,2
person_000105,slow_learner,Slow Learner,personality,mixed,1
person_000106,clutch,Clutch,personality,negative,3
person_000106,high_motor,High Motor,physical/availability,positive,5
person_000106,competitor,Competitor,personality,negative,5
person_000107,slow_learner,Slow Learner,personality,positive,2
person_000108,volatile_confidence,Volatile Confidence,personality,negative,3
person_000109,locker_room_leader,Locker Room Leader,personality,mixed,4
person_000110,poor_practice_habits,Poor Practice Habits,personality,negative,2
person_000110,volatile_confidence,Volatile Confidence,personality,positive,4
person_000110,nil_driven,Nil Driven,personality,positive,1
person_000111,poor_discipline,Poor Discipline,personality,positive,2
person_000111,transfer_risk,Transfer Risk,personality,positive,2
person_000112,locker_room_leader,Locker Room Leader,personality,positive,3
person_000112,transfer_risk,Transfer Risk,personality,positive,5
person_000113,poor_practice_habits,Poor Practice Habits,personality,mixed,4
person_000114,nil_driven,Nil Driven,personality,mixed,1
person_000115,poor_discipline,Poor Discipline,personality,mixed,5
person_000116,high_motor,High Motor,physical/availability,positive,4
person_000116,high_football_iq,High Football Iq,personality,negative,2
person_000116,poor_discipline,Poor Discipline,personality,negative,5
person_000117,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000117,poor_practice_habits,Poor Practice Habits,personality,negative,1
person_000118,big_game_performer,Big Game Performer,personality,negative,5
person_000119,volatile_confidence,Volatile Confidence,personality,positive,5
person_000119,big_game_performer,Big Game Performer,personality,positive,2
person_000119,competitor,Competitor,personality,positive,3
person_000134,clutch,Clutch,personality,positive,4
person_000134,coachable,Coachable,personality,positive,5
person_000134,high_football_iq,High Football Iq,personality,negative,1
person_000135,coachable,Coachable,personality,negative,5
person_000135,poor_practice_habits,Poor Practice Habits,personality,positive,5
person_000136,raw_athlete,Raw Athlete,physical/availability,positive,4
person_000136,transfer_risk,Transfer Risk,personality,negative,5
person_000137,locker_room_leader,Locker Room Leader,personality,mixed,1
person_000137,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000138,competitor,Competitor,personality,mixed,1
person_000139,nil_driven,Nil Driven,personality,mixed,3
person_000139,clutch,Clutch,personality,negative,1
person_000140,high_motor,High Motor,physical/availability,mixed,4
person_000140,coachable,Coachable,personality,mixed,1
person_000141,injury_prone,Injury Prone,physical/availability,positive,1
person_000141,poor_practice_habits,Poor Practice Habits,personality,positive,5
person_000142,competitor,Competitor,personality,positive,4
person_000143,locker_room_leader,Locker Room Leader,personality,positive,2
person_000144,high_football_iq,High Football Iq,personality,mixed,4
person_000144,film_junkie,Film Junkie,personality,negative,4
person_000145,volatile_confidence,Volatile Confidence,personality,mixed,5
person_000145,competitor,Competitor,personality,negative,5
person_000145,big_game_performer,Big Game Performer,personality,positive,5
person_000146,locker_room_leader,Locker Room Leader,personality,negative,4
person_000146,nil_driven,Nil Driven,personality,mixed,1
person_000146,film_junkie,Film Junkie,personality,negative,1
person_000147,poor_discipline,Poor Discipline,personality,positive,4
person_000148,coachable,Coachable,personality,mixed,1
person_000148,clutch,Clutch,personality,mixed,1
person_000149,nil_driven,Nil Driven,personality,positive,3
person_000149,high_football_iq,High Football Iq,personality,negative,3
person_000150,loyal,Loyal,personality,negative,2
person_000150,poor_practice_habits,Poor Practice Habits,personality,mixed,4
person_000151,loyal,Loyal,personality,negative,1
person_000151,poor_practice_habits,Poor Practice Habits,personality,positive,3
person_000152,locker_room_leader,Locker Room Leader,personality,negative,3
person_000153,volatile_confidence,Volatile Confidence,personality,positive,5
person_000153,clutch,Clutch,personality,mixed,2
person_000153,poor_practice_habits,Poor Practice Habits,personality,negative,2
person_000154,high_motor,High Motor,physical/availability,positive,3
person_000154,locker_room_leader,Locker Room Leader,personality,mixed,5
person_000155,clutch,Clutch,personality,negative,1
person_000156,poor_practice_habits,Poor Practice Habits,personality,negative,1
person_000156,coachable,Coachable,personality,mixed,2
person_000156,big_game_performer,Big Game Performer,personality,mixed,3
person_000157,raw_athlete,Raw Athlete,physical/availability,positive,5
person_000157,slow_learner,Slow Learner,personality,mixed,4
person_000158,injury_prone,Injury Prone,physical/availability,positive,1
person_000158,film_junkie,Film Junkie,personality,negative,2
person_000158,nil_driven,Nil Driven,personality,mixed,2
person_000159,high_motor,High Motor,physical/availability,positive,3
person_000159,competitor,Competitor,personality,mixed,3
person_000159,film_junkie,Film Junkie,personality,negative,4
person_000160,poor_practice_habits,Poor Practice Habits,personality,positive,5
person_000160,transfer_risk,Transfer Risk,personality,negative,1
person_000161,high_football_iq,High Football Iq,personality,mixed,1
person_000162,poor_practice_habits,Poor Practice Habits,personality,positive,2
person_000162,competitor,Competitor,personality,mixed,4
person_000162,high_motor,High Motor,physical/availability,mixed,3
person_000163,poor_discipline,Poor Discipline,personality,mixed,1
person_000163,raw_athlete,Raw Athlete,physical/availability,negative,2
person_000164,volatile_confidence,Volatile Confidence,personality,positive,3
person_000165,film_junkie,Film Junkie,personality,mixed,5
person_000165,high_football_iq,High Football Iq,personality,mixed,2
person_000165,clutch,Clutch,personality,negative,5
person_000166,nil_driven,Nil Driven,personality,positive,2
person_000166,high_motor,High Motor,physical/availability,negative,3
person_000166,injury_prone,Injury Prone,physical/availability,negative,1
person_000167,high_football_iq,High Football Iq,personality,negative,4
person_000167,coachable,Coachable,personality,positive,5
person_000168,loyal,Loyal,personality,mixed,4
person_000168,poor_discipline,Poor Discipline,personality,mixed,3
person_000168,poor_practice_habits,Poor Practice Habits,personality,mixed,2
person_000169,raw_athlete,Raw Athlete,physical/availability,mixed,5
person_000170,nil_driven,Nil Driven,personality,mixed,4
person_000170,coachable,Coachable,personality,negative,3
person_000171,loyal,Loyal,personality,positive,3
person_000172,volatile_confidence,Volatile Confidence,personality,negative,1
person_000172,loyal,Loyal,personality,positive,4
person_000172,poor_discipline,Poor Discipline,personality,positive,4
person_000173,nil_driven,Nil Driven,personality,negative,3
person_000174,big_game_performer,Big Game Performer,personality,mixed,3
person_000175,coachable,Coachable,personality,mixed,3
person_000175,locker_room_leader,Locker Room Leader,personality,mixed,2
person_000176,poor_discipline,Poor Discipline,personality,negative,3
person_000177,film_junkie,Film Junkie,personality,positive,5
person_000178,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000178,high_motor,High Motor,physical/availability,negative,2
person_000179,high_football_iq,High Football Iq,personality,negative,1
person_000179,big_game_performer,Big Game Performer,personality,negative,1
person_000179,poor_practice_habits,Poor Practice Habits,personality,negative,4
person_000180,poor_practice_habits,Poor Practice Habits,personality,negative,3
person_000180,loyal,Loyal,personality,positive,3
person_000181,nil_driven,Nil Driven,personality,negative,4
person_000181,poor_discipline,Poor Discipline,personality,mixed,4
person_000182,coachable,Coachable,personality,mixed,5
person_000183,competitor,Competitor,personality,negative,5
person_000184,loyal,Loyal,personality,mixed,1
person_000185,clutch,Clutch,personality,positive,2
person_000185,slow_learner,Slow Learner,personality,positive,2
person_000186,high_motor,High Motor,physical/availability,positive,1
person_000186,film_junkie,Film Junkie,personality,negative,4
person_000187,poor_discipline,Poor Discipline,personality,negative,4
person_000187,high_motor,High Motor,physical/availability,positive,3
person_000187,injury_prone,Injury Prone,physical/availability,positive,1
person_000188,poor_practice_habits,Poor Practice Habits,personality,mixed,1
person_000188,nil_driven,Nil Driven,personality,mixed,2
person_000188,coachable,Coachable,personality,negative,5
person_000189,volatile_confidence,Volatile Confidence,personality,positive,3
person_000189,big_game_performer,Big Game Performer,personality,negative,5
person_000189,poor_practice_habits,Poor Practice Habits,personality,negative,2
person_000190,injury_prone,Injury Prone,physical/availability,mixed,1
person_000190,transfer_risk,Transfer Risk,personality,mixed,4
person_000191,loyal,Loyal,personality,positive,5
person_000192,poor_discipline,Poor Discipline,personality,negative,5
person_000192,nil_driven,Nil Driven,personality,mixed,4
person_000193,nil_driven,Nil Driven,personality,mixed,2
person_000193,injury_prone,Injury Prone,physical/availability,mixed,1
person_000194,film_junkie,Film Junkie,personality,negative,3
person_000194,competitor,Competitor,personality,negative,4
person_000195,film_junkie,Film Junkie,personality,negative,4
person_000195,competitor,Competitor,personality,positive,5
person_000196,poor_practice_habits,Poor Practice Habits,personality,positive,1
person_000196,clutch,Clutch,personality,positive,1
person_000196,poor_discipline,Poor Discipline,personality,positive,3
person_000197,injury_prone,Injury Prone,physical/availability,positive,3
person_000198,coachable,Coachable,personality,mixed,2
person_000198,big_game_performer,Big Game Performer,personality,positive,4
person_000199,nil_driven,Nil Driven,personality,mixed,2
person_000199,loyal,Loyal,personality,mixed,5
person_000199,competitor,Competitor,personality,mixed,1
person_000200,transfer_risk,Transfer Risk,personality,mixed,4
person_000201,loyal,Loyal,personality,mixed,5
person_000201,poor_discipline,Poor Discipline,personality,positive,3
person_000201,film_junkie,Film Junkie,personality,mixed,5
person_000202,slow_learner,Slow Learner,personality,negative,4
person_000202,clutch,Clutch,personality,negative,1
person_000203,injury_prone,Injury Prone,physical/availability,mixed,1
person_000203,clutch,Clutch,personality,positive,2
person_000204,film_junkie,Film Junkie,personality,negative,2
person_000205,high_football_iq,High Football Iq,personality,negative,3
person_000205,loyal,Loyal,personality,mixed,2
person_000205,competitor,Competitor,personality,negative,4
person_000206,poor_discipline,Poor Discipline,personality,negative,3
person_000206,big_game_performer,Big Game Performer,personality,negative,4
person_000206,poor_practice_habits,Poor Practice Habits,personality,negative,1
person_000207,slow_learner,Slow Learner,personality,mixed,1
person_000207,clutch,Clutch,personality,mixed,1
person_000208,volatile_confidence,Volatile Confidence,personality,positive,2
person_000208,nil_driven,Nil Driven,personality,mixed,5
person_000209,big_game_performer,Big Game Performer,personality,negative,3
person_000210,big_game_performer,Big Game Performer,personality,positive,4
person_000210,nil_driven,Nil Driven,personality,negative,1
person_000210,locker_room_leader,Locker Room Leader,personality,mixed,1
person_000211,coachable,Coachable,personality,negative,5
person_000212,injury_prone,Injury Prone,physical/availability,negative,5
person_000212,volatile_confidence,Volatile Confidence,personality,positive,1
person_000213,transfer_risk,Transfer Risk,personality,positive,4
person_000214,film_junkie,Film Junkie,personality,negative,5
person_000215,high_football_iq,High Football Iq,personality,positive,5
person_000216,poor_discipline,Poor Discipline,personality,positive,1
person_000216,locker_room_leader,Locker Room Leader,personality,positive,4
person_000217,big_game_performer,Big Game Performer,personality,mixed,3
person_000217,film_junkie,Film Junkie,personality,negative,4
person_000217,slow_learner,Slow Learner,personality,negative,3
person_000218,nil_driven,Nil Driven,personality,mixed,1
person_000218,slow_learner,Slow Learner,personality,negative,3
person_000218,competitor,Competitor,personality,mixed,1
person_000219,high_football_iq,High Football Iq,personality,mixed,2
person_000219,volatile_confidence,Volatile Confidence,personality,positive,2
person_000219,clutch,Clutch,personality,mixed,3
person_000220,poor_practice_habits,Poor Practice Habits,personality,mixed,2
person_000220,high_football_iq,High Football Iq,personality,positive,1
person_000220,volatile_confidence,Volatile Confidence,personality,mixed,3
person_000221,clutch,Clutch,personality,negative,3
person_000222,transfer_risk,Transfer Risk,personality,negative,5
person_000223,coachable,Coachable,personality,mixed,1
person_000224,competitor,Competitor,personality,negative,1
person_000224,loyal,Loyal,personality,mixed,4
person_000224,injury_prone,Injury Prone,physical/availability,positive,2
person_000225,transfer_risk,Transfer Risk,personality,mixed,5
person_000226,injury_prone,Injury Prone,physical/availability,positive,5
person_000226,poor_discipline,Poor Discipline,personality,mixed,3
person_000227,high_football_iq,High Football Iq,personality,mixed,2
person_000227,injury_prone,Injury Prone,physical/availability,negative,2
person_000227,slow_learner,Slow Learner,personality,mixed,4
person_000228,big_game_performer,Big Game Performer,personality,negative,1
person_000228,transfer_risk,Transfer Risk,personality,mixed,5
person_000229,slow_learner,Slow Learner,personality,negative,3
person_000229,locker_room_leader,Locker Room Leader,personality,mixed,2
person_000230,clutch,Clutch,personality,positive,4
person_000230,slow_learner,Slow Learner,personality,mixed,1
person_000230,high_motor,High Motor,physical/availability,positive,5
person_000231,raw_athlete,Raw Athlete,physical/availability,negative,4
person_000232,poor_discipline,Poor Discipline,personality,positive,5
person_000232,high_football_iq,High Football Iq,personality,positive,5
person_000233,coachable,Coachable,personality,negative,3
person_000234,poor_discipline,Poor Discipline,personality,negative,1
person_000234,volatile_confidence,Volatile Confidence,personality,negative,4
person_000234,transfer_risk,Transfer Risk,personality,positive,4
person_000235,injury_prone,Injury Prone,physical/availability,mixed,3
person_000235,poor_practice_habits,Poor Practice Habits,personality,positive,4
person_000236,injury_prone,Injury Prone,physical/availability,negative,3
person_000236,transfer_risk,Transfer Risk,personality,negative,1
person_000237,big_game_performer,Big Game Performer,personality,negative,4
person_000237,clutch,Clutch,personality,mixed,4
person_000237,poor_practice_habits,Poor Practice Habits,personality,negative,4
person_000238,volatile_confidence,Volatile Confidence,personality,negative,2
person_000238,poor_practice_habits,Poor Practice Habits,personality,mixed,1
person_000238,big_game_performer,Big Game Performer,personality,positive,2
person_000253,film_junkie,Film Junkie,personality,negative,2
person_000253,raw_athlete,Raw Athlete,physical/availability,mixed,5
person_000253,volatile_confidence,Volatile Confidence,personality,mixed,4
person_000254,transfer_risk,Transfer Risk,personality,positive,5
person_000254,poor_discipline,Poor Discipline,personality,positive,4
person_000255,transfer_risk,Transfer Risk,personality,positive,2
person_000255,poor_discipline,Poor Discipline,personality,negative,5
person_000255,high_motor,High Motor,physical/availability,positive,3
person_000256,film_junkie,Film Junkie,personality,mixed,2
person_000257,high_motor,High Motor,physical/availability,mixed,5
person_000257,volatile_confidence,Volatile Confidence,personality,negative,4
person_000258,loyal,Loyal,personality,mixed,4
person_000259,clutch,Clutch,personality,negative,2
person_000259,film_junkie,Film Junkie,personality,mixed,3
person_000260,raw_athlete,Raw Athlete,physical/availability,positive,2
person_000260,clutch,Clutch,personality,positive,5
person_000260,big_game_performer,Big Game Performer,personality,negative,5
person_000261,volatile_confidence,Volatile Confidence,personality,mixed,2
person_000262,transfer_risk,Transfer Risk,personality,mixed,2
person_000263,poor_practice_habits,Poor Practice Habits,personality,negative,1
person_000264,injury_prone,Injury Prone,physical/availability,negative,3
person_000265,loyal,Loyal,personality,positive,1
person_000265,transfer_risk,Transfer Risk,personality,positive,3
person_000266,poor_practice_habits,Poor Practice Habits,personality,positive,4
person_000266,loyal,Loyal,personality,positive,2
person_000266,competitor,Competitor,personality,negative,1
person_000267,nil_driven,Nil Driven,personality,mixed,5
person_000268,high_football_iq,High Football Iq,personality,positive,4
person_000269,film_junkie,Film Junkie,personality,mixed,1
person_000270,slow_learner,Slow Learner,personality,mixed,1
person_000270,volatile_confidence,Volatile Confidence,personality,negative,3
person_000271,locker_room_leader,Locker Room Leader,personality,mixed,5
person_000271,transfer_risk,Transfer Risk,personality,negative,5
person_000271,slow_learner,Slow Learner,personality,positive,5
person_000272,transfer_risk,Transfer Risk,personality,negative,4
person_000272,clutch,Clutch,personality,mixed,1
person_000273,raw_athlete,Raw Athlete,physical/availability,negative,4
person_000273,volatile_confidence,Volatile Confidence,personality,mixed,2
person_000273,high_motor,High Motor,physical/availability,negative,4
person_000274,loyal,Loyal,personality,mixed,4
person_000274,high_motor,High Motor,physical/availability,mixed,3
person_000275,transfer_risk,Transfer Risk,personality,positive,5
person_000275,poor_discipline,Poor Discipline,personality,positive,1
person_000275,clutch,Clutch,personality,mixed,5
person_000276,transfer_risk,Transfer Risk,personality,positive,4
person_000276,volatile_confidence,Volatile Confidence,personality,mixed,3
person_000277,loyal,Loyal,personality,positive,3
person_000278,loyal,Loyal,personality,negative,2
person_000278,slow_learner,Slow Learner,personality,mixed,1
person_000279,slow_learner,Slow Learner,personality,positive,5
person_000279,poor_discipline,Poor Discipline,personality,positive,3
person_000279,volatile_confidence,Volatile Confidence,personality,positive,3
person_000280,locker_room_leader,Locker Room Leader,personality,mixed,1
person_000281,coachable,Coachable,personality,mixed,1
person_000281,raw_athlete,Raw Athlete,physical/availability,mixed,1
person_000282,high_football_iq,High Football Iq,personality,positive,3
person_000283,film_junkie,Film Junkie,personality,mixed,2
person_000284,film_junkie,Film Junkie,personality,mixed,1
person_000284,volatile_confidence,Volatile Confidence,personality,positive,3
person_000284,high_football_iq,High Football Iq,personality,negative,5
person_000285,volatile_confidence,Volatile Confidence,personality,mixed,1
person_000285,loyal,Loyal,personality,positive,4
person_000285,coachable,Coachable,personality,negative,3
person_000286,transfer_risk,Transfer Risk,personality,negative,3
person_000286,coachable,Coachable,personality,positive,4
person_000286,loyal,Loyal,personality,mixed,1
person_000287,volatile_confidence,Volatile Confidence,personality,mixed,4
person_000288,locker_room_leader,Locker Room Leader,personality,mixed,3
person_000289,raw_athlete,Raw Athlete,physical/availability,mixed,4
person_000289,film_junkie,Film Junkie,personality,positive,5
person_000289,high_football_iq,High Football Iq,personality,positive,1
person_000290,film_junkie,Film Junkie,personality,negative,4
person_000291,slow_learner,Slow Learner,personality,positive,1
person_000291,competitor,Competitor,personality,positive,3
person_000292,injury_prone,Injury Prone,physical/availability,positive,4
person_000293,volatile_confidence,Volatile Confidence,personality,negative,5
person_000293,slow_learner,Slow Learner,personality,positive,5
person_000293,nil_driven,Nil Driven,personality,mixed,2
person_000294,high_motor,High Motor,physical/availability,mixed,5
person_000295,nil_driven,Nil Driven,personality,mixed,3
person_000296,high_football_iq,High Football Iq,personality,mixed,3
person_000296,high_motor,High Motor,physical/availability,mixed,2
person_000297,locker_room_leader,Locker Room Leader,personality,positive,3
person_000297,competitor,Competitor,personality,negative,3
person_000298,raw_athlete,Raw Athlete,physical/availability,mixed,4
person_000298,film_junkie,Film Junkie,personality,negative,3
person_000298,high_motor,High Motor,physical/availability,negative,3
person_000299,poor_practice_habits,Poor Practice Habits,personality,positive,1
person_000299,loyal,Loyal,personality,negative,1
person_000300,slow_learner,Slow Learner,personality,negative,1
person_000300,poor_practice_habits,Poor Practice Habits,personality,positive,3
person_000300,film_junkie,Film Junkie,personality,positive,2
person_000301,competitor,Competitor,personality,positive,3
person_000302,poor_discipline,Poor Discipline,personality,positive,1
person_000302,locker_room_leader,Locker Room Leader,personality,negative,3
person_000302,raw_athlete,Raw Athlete,physical/availability,negative,4
person_000303,loyal,Loyal,personality,negative,4
person_000304,poor_discipline,Poor Discipline,personality,negative,3
